data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 49.40, 48.65, 65.26, 65.73, 74.35, 55.69, 1, 4385.00
0.02, 49.51, 48.35, 50.13, 51.09, 71.39, 49.18, 0, 4333.18
0.03, 49.37, 48.86, 79.38, 79.27, 81.91, 60.44, 0, 4250.37
0.04, 49.45, 48.96, 82.97, 82.53, 84.27, 61.53, 0, 4788.90
0.05, 49.37, 48.84, 78.18, 78.13, 81.12, 60.08, 0, 4435.91
0.06, 49.32, 48.29, 53.72, 54.88, 71.79, 50.81, 0, 4506.94
0.07, 49.62, 48.38, 47.34, 48.20, 71.39, 47.80, 1, 4491.97
0.08, 49.54, 48.63, 59.25, 59.72, 72.30, 53.37, 1, 4710.49
0.09, 49.08, 48.45, 67.09, 68.10, 75.63, 56.22, 1, 4780.11
0.1, 49.74, 48.93, 67.02, 66.74, 74.45, 56.51, 1, 5218.13
0.2, 49.46, 48.71, 66.27, 66.58, 74.64, 56.10, 1, 6054.77
0.3, 49.37, 48.34, 53.98, 55.04, 71.74, 50.96, 1, 7046.20
0.4, 49.60, 48.48, 51.58, 52.28, 71.26, 49.93, 1, 9470.58
0.5, 50.31, 49.05, 46.11, 45.70, 70.65, 47.49, 0, 13432.59
0.6, 50.31, 49.10, 48.47, 47.95, 70.38, 48.73, 1, 13434.12
0.7, 50.46, 49.32, 53.36, 52.31, 70.08, 51.21, 1, 14134.23
0.8, 50.61, 49.44, 51.38, 50.13, 69.83, 50.35, 1, 19595.49
0.9, 50.49, 49.27, 47.10, 46.27, 70.28, 48.11, 1, 20153.78
1, 50.70, 49.45, 43.49, 42.41, 70.65, 46.23, 1, 17718.82
5, 50.69, 49.57, 57.47, 55.77, 70.14, 53.18, 0, 82542.71
10, 50.73, 49.55, 50.25, 48.82, 69.70, 49.85, 0, 198043.80
15, 49.79, 48.61, 49.60, 50.03, 71.02, 49.05, 1, 240365.13
20, 49.75, 48.56, 48.98, 49.51, 71.09, 48.72, 1, 324465.17
25, 49.57, 48.37, 48.81, 49.71, 71.36, 48.54, 1, 375028.89
30, 49.77, 48.51, 46.98, 47.58, 71.24, 47.68, 1, 473709.57
35, 49.11, 47.87, 47.56, 49.41, 72.06, 47.66, 1, 504606.72
40, 50.13, 48.88, 46.86, 46.75, 70.78, 47.80, 1, 573049.16
45, 49.14, 47.86, 46.57, 48.40, 72.09, 47.16, 1, 614542.16
50, 49.32, 48.01, 45.75, 47.28, 71.96, 46.80, 1, 677873.26
55, 49.33, 48.03, 45.92, 47.42, 71.92, 46.90, 1, 758630.06
60, 49.17, 47.80, 44.72, 46.59, 72.30, 46.16, 1, 807361.99
65, 48.90, 47.47, 43.73, 46.18, 72.79, 45.47, 1, 910253.07
