data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 49.59, 48.76, 63.72, 63.90, 73.48, 55.20, 1, 4366.24
0.02, 49.46, 48.25, 48.42, 49.55, 71.52, 48.29, 0, 4402.06
0.03, 49.25, 48.74, 76.28, 76.54, 80.13, 59.43, 0, 4457.69
0.04, 48.97, 48.67, 82.56, 83.08, 84.90, 61.19, 0, 4486.47
0.05, 49.47, 48.91, 78.37, 78.10, 81.04, 60.19, 0, 4680.75
0.06, 49.44, 48.47, 56.56, 57.36, 71.95, 52.15, 0, 4975.61
0.07, 49.14, 47.82, 45.66, 47.53, 72.20, 46.66, 1, 5166.04
0.08, 49.34, 48.41, 56.99, 57.95, 72.17, 52.30, 1, 5251.01
0.09, 49.65, 48.93, 71.66, 71.36, 76.78, 58.11, 1, 5336.31
0.1, 48.75, 48.22, 67.14, 68.79, 76.23, 56.08, 1, 5756.88
0.2, 49.08, 48.32, 61.73, 62.98, 73.70, 54.16, 1, 7323.38
0.3, 50.09, 48.98, 53.02, 52.70, 70.60, 50.87, 1, 9675.20
0.4, 49.64, 48.49, 50.49, 51.18, 71.21, 49.42, 1, 11923.28
0.5, 49.78, 48.51, 46.74, 47.33, 71.25, 47.56, 1, 14343.74
0.6, 50.36, 49.19, 50.35, 49.62, 70.20, 49.71, 1, 16588.56
0.7, 50.38, 49.27, 55.14, 54.17, 70.33, 51.99, 1, 18707.94
0.8, 50.53, 49.35, 50.47, 49.41, 69.97, 49.85, 1, 21409.08
0.9, 50.97, 49.78, 47.05, 45.28, 69.67, 48.33, 1, 23914.69
1, 50.74, 49.51, 45.42, 44.18, 70.22, 47.33, 1, 26084.82
5, 50.09, 49.06, 57.97, 57.42, 71.16, 53.10, 0, 116639.93
10, 50.29, 49.12, 50.57, 49.97, 70.29, 49.78, 0, 252490.43
15, 50.07, 48.90, 50.32, 50.17, 70.60, 49.55, 1, 320011.49
20, 49.84, 48.64, 49.07, 49.44, 70.98, 48.81, 1, 415899.63
25, 49.49, 48.33, 49.63, 50.63, 71.42, 48.92, 1, 485263.65
30, 49.82, 48.58, 47.29, 47.76, 71.13, 47.88, 1, 592231.42
35, 49.69, 48.46, 47.70, 48.40, 71.26, 48.03, 1, 619880.10
40, 49.55, 48.31, 47.39, 48.38, 71.47, 47.79, 1, 668596.87
45, 49.21, 47.90, 45.73, 47.46, 72.10, 46.74, 1, 740348.57
50, 49.38, 48.09, 46.26, 47.65, 71.82, 47.11, 1, 795337.66
55, 49.31, 48.01, 46.04, 47.58, 71.94, 46.95, 1, 850050.16
60, 49.19, 47.80, 44.14, 45.99, 72.36, 45.85, 1, 930661.01
65, 49.08, 47.70, 44.50, 46.55, 72.43, 46.00, 1, 1032788.81
70, 48.97, 47.54, 43.76, 46.06, 72.70, 45.52, 1, 1091337.43
75, 48.34, 46.87, 43.44, 46.98, 73.52, 45.04, 1, 1161607.06
80, 48.64, 47.12, 42.51, 45.51, 73.33, 44.64, 1, 1245905.34
85, 47.73, 46.18, 42.60, 47.37, 74.42, 44.27, 1, 1344012.60
90, 47.70, 45.91, 39.96, 44.92, 74.98, 42.68, 1, 1423713.03
95, 47.39, 45.45, 38.73, 44.34, 75.63, 41.77, 1, 1493317.39
100, 47.17, 45.12, 37.96, 44.04, 76.08, 41.18, 1, 1545036.90
