size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.60, 49.60, 100.00, 100.00, 100.00, 66.26, 2.40
0.02, 49.60, 48.58, 27.67, 28.82, 77.86, 35.21, 4.78
0.03, 49.60, 49.38, 71.03, 71.54, 77.18, 58.21, 4.60
0.04, 49.60, 49.38, 71.03, 71.54, 77.18, 58.21, 5.54
0.05, 49.60, 49.38, 71.03, 71.54, 77.18, 58.21, 5.01
0.06, 49.60, 49.66, 63.72, 64.04, 73.60, 55.77, 7.49
0.07, 49.60, 49.85, 80.13, 80.23, 82.66, 61.41, 7.92
0.08, 49.60, 49.60, 87.44, 87.62, 88.51, 63.25, 11.10
0.09, 49.60, 49.60, 87.44, 87.62, 88.51, 63.25, 11.43
0.1, 49.60, 49.60, 87.44, 87.62, 88.51, 63.25, 14.72
0.2, 49.60, 49.50, 83.42, 83.69, 85.32, 62.09, 21.11
0.3, 49.60, 49.34, 69.32, 69.88, 76.32, 57.60, 38.48
0.4, 49.60, 49.36, 68.36, 68.91, 75.83, 57.28, 41.85
0.5, 49.60, 49.53, 66.38, 66.81, 74.79, 56.68, 59.58
0.6, 49.60, 49.46, 65.95, 66.43, 74.65, 56.48, 72.82
0.7, 49.60, 49.21, 67.94, 68.63, 75.75, 57.03, 86.95
0.8, 49.60, 48.10, 22.50, 23.85, 81.09, 30.62, 92.21
0.9, 49.60, 48.10, 22.50, 23.85, 81.09, 30.62, 111.66
1, 49.60, 48.19, 22.77, 24.08, 80.89, 30.89, 131.10
5, 49.60, 49.22, 49.22, 49.99, 71.26, 49.17, 995.70
