size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.40, 0.00, 0.00, 0.00, 100.00, 0.00, 0.55
0.02, 50.40, 0.00, 0.00, 0.00, 100.00, 0.00, 0.31
0.03, 50.40, 0.00, 0.00, 0.00, 100.00, 0.00, 0.32
0.04, 49.60, 49.60, 100.00, 100.00, 100.00, 66.26, 0.31
0.05, 49.60, 49.60, 100.00, 100.00, 100.00, 66.26, 0.31
0.06, 50.40, 0.00, 0.00, 0.00, 100.00, 0.00, 0.31
0.07, 50.40, 0.00, 0.00, 0.00, 100.00, 0.00, 0.33
0.08, 49.60, 49.60, 100.00, 100.00, 100.00, 66.26, 0.31
0.09, 49.60, 49.60, 100.00, 100.00, 100.00, 66.26, 0.29
0.1, 49.60, 49.60, 100.00, 100.00, 100.00, 66.26, 0.30
0.2, 49.60, 49.60, 100.00, 100.00, 100.00, 66.26, 0.30
0.3, 50.40, 0.00, 0.00, 0.00, 100.00, 0.00, 0.31
0.4, 49.60, 49.60, 100.00, 100.00, 100.00, 66.26, 0.32
0.5, 49.29, 49.12, 63.00, 64.21, 74.10, 55.15, 0.85
0.6, 49.44, 49.19, 59.09, 60.06, 72.67, 53.64, 0.98
0.7, 49.42, 48.93, 45.40, 46.62, 71.79, 47.05, 1.53
0.8, 49.31, 48.84, 46.64, 48.07, 71.82, 47.67, 1.72
0.9, 49.42, 49.32, 72.53, 73.32, 78.30, 58.67, 2.56
1, 49.43, 48.82, 40.58, 41.86, 72.69, 44.27, 3.65
5, 50.11, 49.74, 56.04, 55.73, 70.98, 52.65, 17.63
10, 50.29, 49.18, 7.05, 7.17, 93.23, 12.31, 37.01
15, 50.16, 49.71, 41.25, 41.06, 71.68, 45.04, 50.67
20, 50.39, 49.95, 12.32, 12.15, 88.52, 19.73, 64.93
25, 50.14, 47.88, 5.89, 6.31, 94.32, 10.47, 79.28
30, 50.27, 49.57, 14.94, 14.96, 86.36, 22.93, 94.25
35, 50.11, 49.14, 16.61, 16.92, 85.09, 24.79, 106.23
40, 50.14, 48.89, 11.50, 11.83, 89.29, 18.59, 117.58
45, 50.34, 49.92, 40.02, 39.50, 71.82, 44.38, 131.63
50, 50.50, 50.16, 29.20, 28.55, 76.34, 36.87, 143.74
55, 50.27, 49.73, 24.17, 24.04, 79.55, 32.48, 150.37
60, 50.29, 49.77, 23.74, 23.58, 79.82, 32.11, 172.72
65, 50.53, 50.22, 27.83, 27.14, 77.10, 35.77, 186.36
70, 50.31, 49.82, 26.82, 26.58, 77.86, 34.82, 183.43
75, 50.17, 46.57, 3.21, 3.62, 96.86, 5.99, 197.63
80, 50.21, 48.05, 4.75, 5.05, 95.38, 8.63, 232.50
85, 50.03, 49.43, 32.52, 32.73, 75.00, 39.18, 219.72
90, 50.06, 48.74, 13.46, 13.93, 87.65, 21.06, 228.72
95, 50.05, 48.61, 12.58, 13.09, 88.39, 19.96, 239.39
100, 50.20, 49.65, 29.34, 29.27, 76.48, 36.84, 244.97
