size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.15, 48.84, 75.66, 76.50, 80.28, 59.31, 0.00
0.02, 49.15, 48.39, 58.12, 59.68, 72.91, 52.77, 0.00
0.03, 49.15, 48.82, 77.33, 78.15, 81.37, 59.80, 0.00
0.04, 49.15, 48.61, 61.82, 63.12, 73.77, 54.38, 0.00
0.05, 49.15, 48.59, 60.25, 61.59, 73.30, 53.75, 0.00
0.06, 49.15, 48.38, 19.94, 21.00, 82.76, 28.20, 0.00
0.07, 49.15, 48.38, 19.94, 21.00, 82.76, 28.20, 0.00
0.08, 49.15, 48.52, 64.71, 66.05, 74.89, 55.41, 0.01
0.09, 49.15, 48.69, 71.36, 72.42, 77.87, 57.84, 0.01
0.1, 49.15, 48.61, 69.25, 70.41, 76.84, 57.08, 0.01
0.2, 49.15, 48.76, 41.96, 43.17, 72.34, 45.05, 0.01
0.3, 49.15, 49.45, 17.59, 17.91, 84.33, 25.92, 0.02
0.4, 49.15, 48.74, 31.04, 32.13, 76.08, 37.88, 0.03
0.5, 49.15, 48.62, 35.45, 36.73, 74.26, 40.96, 0.03
0.6, 49.15, 48.77, 40.96, 42.16, 72.55, 44.47, 0.04
0.7, 49.15, 48.99, 49.03, 50.04, 71.43, 48.96, 0.04
0.8, 49.15, 49.03, 42.06, 43.01, 72.16, 45.23, 0.05
0.9, 49.15, 49.01, 42.37, 43.33, 72.11, 45.40, 0.06
1, 49.15, 48.85, 43.04, 44.17, 72.08, 45.72, 0.07
5, 49.15, 48.72, 57.74, 58.98, 72.56, 52.79, 0.37
10, 49.15, 48.67, 44.53, 45.84, 71.96, 46.46, 0.87
15, 49.15, 48.59, 47.28, 48.69, 71.76, 47.88, 1.59
20, 49.15, 47.40, 6.41, 7.06, 93.86, 11.27, 2.40
25, 49.15, 48.60, 42.75, 44.13, 72.28, 45.44, 3.08
30, 49.15, 48.87, 32.47, 33.47, 75.37, 38.97, 3.92
35, 49.15, 49.40, 11.85, 12.11, 88.98, 19.08, 4.34
40, 49.15, 50.28, 20.66, 20.48, 81.94, 29.25, 5.28
45, 49.15, 49.78, 25.12, 25.29, 79.03, 33.35, 5.75
50, 49.15, 50.05, 23.43, 23.39, 80.07, 31.87, 6.44
55, 49.15, 49.81, 33.01, 33.18, 74.75, 39.66, 6.80
60, 49.15, 49.48, 27.99, 28.41, 77.41, 35.71, 7.48
65, 49.15, 49.71, 23.36, 23.57, 80.18, 31.74, 8.67
70, 49.15, 49.71, 23.36, 23.57, 80.18, 31.74, 9.34
75, 49.15, 49.71, 23.36, 23.57, 80.18, 31.74, 9.94
80, 49.15, 49.71, 23.36, 23.57, 80.18, 31.74, 10.46
85, 49.15, 49.71, 23.36, 23.57, 80.18, 31.74, 11.27
90, 49.15, 49.71, 23.36, 23.57, 80.18, 31.74, 11.83
95, 49.15, 49.79, 22.37, 22.52, 80.83, 30.83, 12.96
100, 49.15, 0.00, 0.00, 0.00, 100.00, 0.00, 13.51
