size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.01
0.02, 49.38, 0.00, 0.00, 0.00, 100.00, 0.00, 0.03
0.03, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.07
0.04, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.14
0.05, 49.38, 48.84, 71.83, 72.76, 78.02, 58.10, 0.18
0.06, 49.38, 48.84, 71.83, 72.76, 78.02, 58.10, 0.20
0.07, 49.38, 48.73, 38.97, 40.18, 73.07, 43.26, 0.23
0.08, 49.38, 48.73, 38.97, 40.18, 73.07, 43.26, 0.25
0.09, 49.38, 48.84, 71.83, 72.76, 78.02, 58.10, 0.28
0.1, 49.38, 48.84, 71.83, 72.76, 78.02, 58.10, 0.31
0.2, 49.38, 48.93, 63.56, 64.54, 74.12, 55.25, 0.67
0.3, 49.38, 48.83, 63.16, 64.24, 74.05, 55.03, 1.01
0.4, 49.38, 49.07, 54.82, 55.75, 71.75, 51.74, 1.53
0.5, 49.38, 49.07, 54.82, 55.75, 71.75, 51.74, 2.36
0.6, 49.38, 49.07, 54.82, 55.75, 71.75, 51.74, 2.99
0.7, 49.38, 49.35, 51.55, 52.20, 71.22, 50.37, 3.91
0.8, 49.38, 49.16, 62.21, 63.00, 73.46, 54.87, 5.29
0.9, 49.38, 49.07, 60.77, 61.66, 73.08, 54.25, 6.56
1, 49.38, 49.37, 52.71, 53.34, 71.28, 50.94, 7.65
5, 49.38, 49.28, 52.71, 53.43, 71.35, 50.89, 51.25
10, 49.38, 49.75, 37.42, 37.65, 73.04, 42.66, 88.34
15, 49.38, 49.19, 46.35, 47.16, 71.43, 47.68, 137.57
20, 49.38, 48.78, 41.65, 42.84, 72.39, 44.88, 171.82
25, 49.38, 48.81, 41.46, 42.63, 72.41, 44.79, 193.80
30, 49.38, 48.71, 42.39, 43.66, 72.28, 45.28, 216.13
35, 49.38, 48.73, 44.50, 45.76, 71.93, 46.47, 236.15
40, 49.38, 48.75, 31.28, 32.36, 75.96, 38.06, 254.10
45, 49.38, 48.49, 43.41, 44.91, 72.24, 45.76, 273.58
50, 49.38, 48.68, 29.57, 30.68, 76.82, 36.74, 284.44
55, 49.38, 48.70, 35.00, 36.20, 74.40, 40.68, 291.62
60, 49.38, 48.65, 34.75, 35.99, 74.51, 40.50, 298.53
65, 49.38, 48.27, 39.60, 41.27, 73.15, 43.46, 303.22
70, 49.38, 48.40, 31.88, 33.29, 75.82, 38.39, 307.10
75, 49.38, 48.39, 31.95, 33.37, 75.79, 38.44, 309.71
80, 49.38, 48.34, 31.72, 33.17, 75.91, 38.26, 326.52
85, 49.38, 48.34, 31.72, 33.17, 75.91, 38.26, 342.75
90, 49.38, 48.34, 31.79, 33.25, 75.88, 38.31, 330.74
95, 49.38, 48.40, 31.88, 33.29, 75.82, 38.39, 343.76
100, 49.38, 48.51, 30.70, 31.99, 76.32, 37.56, 316.25
