size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.59,39.41,80,80,100,52.77,40.16
0.02,0.02,50.76,0,0,0,100,0,42.16
0.03,0.03,49.72,29.48,60,60,100,39.51,39.9
0.04,0.04,49.24,49.24,100,100,100,65.94,39.98
0.05,0.05,49.24,49.24,100,100,100,65.94,39.94
0.06,0.06,50.28,19.76,40,40,100,26.44,40.26
0.07,0.06,50,19.62,40,40,100,26.31,40.15
0.08,0.07,49.36,44.3,90,90,100,59.33,39.87
0.09,0.08,49.24,49.24,100,100,100,65.94,40.31
0.1,0.08,49.24,49.24,100,100,100,65.94,40.58
0.2,0.19,49.89,34.56,70,70,100,46.25,41.02
0.3,0.3,50.27,19.75,40,40,100,26.43,40.96
0.4,0.42,50.08,29.66,60,60,100,39.67,41.57
0.5,0.52,50.67,4.96,10,10,100,6.62,43.66
0.6,0.71,50.3,14.77,30,30,100,19.78,42.79
0.7,0.89,49.71,49.14,59.82,60.1,73.56,53.55,53
0.8,1.03,49.79,49.08,52.42,52.78,71.56,50.49,57.65
0.9,1.23,49.86,49.13,51.83,52.06,71.68,50.17,64.8
1,1.38,49.85,49.09,50.04,50.34,71.54,49.31,69.16
5,4.89,49.21,48.91,70.47,71.39,77.53,57.62,269.39
10,10.14,50.11,48.9,27.71,28.14,77.76,35.14,520.53
15,14.84,49.68,48.58,37.04,38.04,74.15,41.64,752.45
20,20,49.86,48.23,25.1,26.11,79.56,32.73,926.96
25,24.7,49.8,48.39,28.52,29.53,77.7,35.49,1150.76
30,29.81,50.03,48.2,18.76,19.62,83.8,26.64,1328.09
35,34.54,49.8,47.99,22.42,23.62,81.43,30.15,1504.73
40,39.65,49.95,47.94,18.57,19.59,83.94,26.44,1693.34
45,44.31,49.72,47.95,23.79,25.12,80.51,31.45,1900.14
50,49.55,49.97,48.03,18.97,19.95,83.61,26.9,2083.97
55,54.41,49.92,48.2,22.51,23.49,81.1,30.48,2232.14
60,59.57,49.98,48.03,19.34,20.29,83.26,27.4,2402.6
65,64.18,49.91,48.1,21.19,22.22,81.96,29.27,2578.6
70,69.54,49.99,47.98,18.56,19.51,83.81,26.6,2763.18
75,74.33,49.84,47.21,15.72,17.05,86.03,23.46,3016.67
80,79.78,49.85,47.36,16.17,17.47,85.71,23.91,3172.96
85,84.46,49.79,47.08,16.24,17.67,85.67,23.97,3446.93
90,89.75,49.77,47.04,15.96,17.43,85.9,23.65,3609.49
95,94.55,49.81,47.2,16.08,17.44,85.82,23.74,3775.04
100,100,49.74,47.3,17.82,19.28,84.46,25.75,3969.23
