size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.95,49.95,100,100,100,66.57,0.32
0.02,0.02,49.95,49.95,100,100,100,66.57,0.28
0.03,0.03,49.95,49.95,100,100,100,66.57,0.26
0.04,0.04,49.95,49.95,100,100,100,66.57,0.28
0.05,0.05,49.95,49.95,100,100,100,66.57,0.27
0.06,0.06,49.95,49.95,100,100,100,66.57,0.27
0.07,0.06,49.95,49.95,100,100,100,66.57,0.26
0.08,0.07,49.95,49.95,100,100,100,66.57,0.28
0.09,0.08,49.95,49.95,100,100,100,66.57,0.27
0.1,0.08,49.95,49.95,100,100,100,66.57,0.28
0.2,0.19,49.95,49.95,100,100,100,66.57,0.27
0.3,0.3,49.95,49.95,100,100,100,66.57,0.27
0.4,0.42,49.95,49.95,100,100,100,66.57,0.28
0.5,0.52,49.79,14.87,30,30,100,19.87,0.3
0.6,0.71,49.95,49.95,100,100,100,66.57,0.29
0.7,0.89,50.13,45.04,90,90,100,59.99,0.34
0.8,1.03,49.9,4.92,10,10,100,6.59,0.29
0.9,1.23,49.98,14.94,17.29,17.36,91.53,16.01,0.84
1,1.38,50,9.82,7.71,7.84,95.27,8.26,0.91
5,4.89,50.73,50.69,53.73,52.28,71.61,51.45,11.79
10,10.14,51.37,51.36,49.86,47.2,70.2,50.1,23.21
15,14.84,51,50.89,57.36,55.38,71.33,53.4,32.47
20,20,51.38,51.85,42.55,39.71,71.43,45.73,41.37
25,24.7,51.09,52.3,33.96,32.06,79.68,37.52,50.27
30,29.81,51.23,52.23,43.79,41.42,76.36,44.24,59.04
35,34.54,51.2,54.01,32.43,29.9,79.42,36.05,68.03
40,39.65,51.37,55.43,35.1,32.23,81.08,36.19,78.58
45,44.31,51.55,57.11,25.67,22.44,84.04,29.38,84.62
50,49.55,51.62,60.25,17.36,13.94,88.94,21.91,93.18
55,54.41,51.61,59.86,17.53,14.13,88.94,22.13,101.21
60,59.57,51.66,58.76,18.32,14.81,88.22,23.27,108.99
65,64.18,51.9,62.57,9.63,5.9,90.58,16.57,117.57
70,69.54,51.91,62.23,10.05,6.32,90.2,17.12,123.96
75,74.33,51.59,59.31,31.44,27.91,87.83,30.37,137.32
80,79.78,51.72,59.84,18.53,14.88,88.95,22.93,140.12
85,84.46,51.73,60.25,18,14.36,89.32,22.3,147.68
90,89.75,51.91,60.08,11.22,7.48,89.11,18.83,156.99
95,94.55,51.54,57.04,32.55,29.56,85.56,32.47,163.68
100,100,51.8,60.98,17.36,13.91,89.66,21.52,174.7
