size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.86,49.86,54.94,55.04,75.31,50.65,0
0.02,0.02,49.86,49.79,91.93,92.05,95.39,63.76,0
0.03,0.03,49.86,49.69,89.84,90.02,92.71,63.41,0
0.04,0.04,49.86,49.86,100,100,100,66.5,0
0.05,0.05,49.86,49.7,95.99,96.07,96.56,65.34,0
0.06,0.06,49.86,49.86,100,100,100,66.5,0
0.07,0.06,49.86,49.86,100,100,100,66.5,0
0.08,0.07,49.86,49.89,97.71,97.75,98.08,65.93,0
0.09,0.08,49.86,49.86,100,100,100,66.5,0
0.1,0.08,49.86,49.86,100,100,100,66.5,0
0.2,0.19,49.86,49.86,100,100,100,66.5,0.01
0.3,0.3,49.95,49.95,100,100,100,66.57,0.01
0.4,0.42,49.95,50.03,66.2,66.08,79.51,55.49,0.02
0.5,0.52,49.95,50.07,50.03,49.96,70.98,49.88,0.02
0.6,0.71,49.95,49.84,62.23,62.31,76.18,54.38,0.02
0.7,0.89,49.95,49.98,54.99,55.01,71.13,52.3,0.03
0.8,1.03,49.95,50.1,50.38,50.28,71.34,49.93,0.03
0.9,1.23,49.95,24.92,25.87,25.95,85.51,25.33,0.04
1,1.38,49.95,30.11,28.62,28.51,82.68,29.2,0.04
5,4.89,49.95,50.04,31.61,31.71,78.36,36.32,0.21
10,10.14,49.95,49.62,52.46,52.75,77.1,48.53,0.43
15,14.84,49.95,49.1,48.57,49.19,75.12,46.76,0.69
20,20,49.95,49.32,49.78,50.29,74.49,47.78,1.04
25,24.7,49.95,49.84,34.7,34.86,76.78,38.72,1.47
30,29.81,49.95,49.6,48.33,48.59,77.72,45.45,1.88
35,34.54,49.95,49.91,32.29,32.29,77.59,36.85,2.28
40,39.65,49.95,50.25,47.21,47.04,73.53,47.31,2.77
45,44.31,49.95,50.49,31.58,31.34,78.81,35.77,3.29
50,49.55,49.95,50.44,49.81,49.61,76.47,47.32,3.62
55,54.41,49.95,50.58,40.29,39.86,73.85,43.59,4.07
60,59.57,49.95,50.16,43.4,43.4,73.82,45.03,4.53
65,64.18,49.95,50.34,41.45,41.34,73.67,44.09,4.96
70,69.54,49.95,50.13,47.95,47.87,73.86,47.55,5.4
75,74.33,49.95,50.37,45.42,45.15,78.86,44.1,5.76
80,79.78,49.95,50.41,49.85,49.54,78.85,46.46,6.26
85,84.46,49.95,50.78,35.95,35.49,79.6,38.55,6.64
90,89.75,49.95,50.38,52.23,51.96,78.67,47.77,7.08
95,94.55,49.95,50.67,41.9,41.53,77.4,42.65,7.5
100,100,49.95,50.39,42.96,42.98,79.46,41.69,7.96
