size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.95,49.95,100,100,100,66.57,41.86
0.02,0.02,49.95,49.95,100,100,100,66.57,39.46
0.03,0.03,49.95,49.95,100,100,100,66.57,40.09
0.04,0.04,49.95,49.95,100,100,100,66.57,38.84
0.05,0.05,49.95,49.95,100,100,100,66.57,39.24
0.06,0.06,49.95,49.95,100,100,100,66.57,39.89
0.07,0.06,49.95,49.95,100,100,100,66.57,39.46
0.08,0.07,49.95,49.95,100,100,100,66.57,39.33
0.09,0.08,49.95,49.95,100,100,100,66.57,39.42
0.1,0.08,49.95,49.95,100,100,100,66.57,39.09
0.2,0.19,49.95,49.95,100,100,100,66.57,41.41
0.3,0.3,49.95,49.95,100,100,100,66.57,39.37
0.4,0.42,49.95,49.95,100,100,100,66.57,42.37
0.5,0.52,49.79,14.87,30,30,100,19.87,41.07
0.6,0.71,49.95,49.95,100,100,100,66.57,41.83
0.7,0.89,50.13,45.04,90,90,100,59.99,40.75
0.8,1.03,49.9,9.93,20,20,100,13.26,41.66
0.9,1.23,50.05,0,0,0,100,0,41.13
1,1.38,50.05,0,0,0,100,0,41.46
5,4.89,50.8,50.95,40.88,39.3,71.21,45.2,148.42
10,10.14,51.04,51,51.92,49.85,69.71,51.25,284.23
15,14.84,51.03,51.08,46.92,44.91,69.69,48.81,393.06
20,20,51.19,51.15,51.01,48.66,69.35,50.93,494.17
25,24.7,50.99,51.12,44.56,42.6,70.41,47.34,612.57
30,29.81,51.45,51.82,40.6,37.69,70.73,45.28,717.99
35,34.54,51.23,51.82,35.17,32.69,73.08,41.54,816.1
40,39.65,51.3,51.85,39.14,36.48,71.91,44.04,913.89
45,44.31,51.12,51.73,37.38,35.06,72.86,42.67,1028.59
50,49.55,50.89,51.33,36.77,34.92,73.11,42.19,1145.98
55,54.41,50.88,51.66,30.53,28.7,75.97,37.72,1258.64
60,59.57,50.87,51.55,31.84,30.02,75.44,38.63,1345.31
65,64.18,50.81,51.62,29.53,27.82,76.7,36.76,1447.55
70,69.54,50.87,51.6,31.55,29.71,75.59,38.38,1543.16
75,74.33,50.87,51.48,33.3,31.44,74.98,39.49,1649.46
80,79.78,50.61,51.14,33.65,32.28,75.18,39.55,1758.03
85,84.46,50.61,51.13,31.07,29.72,76.04,37.89,1930.12
90,89.75,50.52,51.03,31.58,30.38,76.27,37.93,2029.37
95,94.55,50.51,51.07,31.54,30.37,76.33,37.86,2068.75
100,100,50.4,50.97,28.34,27.41,77.75,35.47,2199.16
