size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.95,49.95,100,100,100,66.57,0.01
0.02,0.02,49.95,49.95,100,100,100,66.57,0.01
0.03,0.03,49.95,49.95,100,100,100,66.57,0.03
0.04,0.04,49.95,49.95,100,100,100,66.57,0.04
0.05,0.05,49.95,49.95,100,100,100,66.57,0.06
0.06,0.06,49.95,49.95,100,100,100,66.57,0.09
0.07,0.06,49.95,49.95,100,100,100,66.57,0.12
0.08,0.07,49.95,49.95,100,100,100,66.57,0.15
0.09,0.08,49.95,49.95,100,100,100,66.57,0.21
0.1,0.08,49.95,49.95,100,100,100,66.57,0.25
0.2,0.19,49.95,49.95,100,100,100,66.57,1.09
0.3,0.3,49.95,49.95,100,100,100,66.57,2.62
0.4,0.42,49.95,49.95,100,100,100,66.57,4.83
0.5,0.52,49.95,14.87,30,30,100,19.87,7.87
0.6,0.71,49.95,49.95,100,100,100,66.57,11.71
0.7,0.89,49.95,45.04,90,90,100,59.99,16.21
0.8,1.03,49.95,4.92,10,10,100,6.59,21.77
0.9,1.23,49.95,44.46,15.84,16.21,87.08,21.53,25.33
1,1.38,49.95,50.28,17.07,17.23,85.65,23.63,25.69
5,4.89,49.95,50.21,37.35,37.06,73.87,42.15,59.49
10,10.14,49.95,50.77,44.94,44.18,70.92,47.5,113.47
15,14.84,49.95,50.68,44.86,44.19,70.79,47.49,142.54
20,20,49.95,50.69,45.9,45.21,70.7,48.05,165.07
25,24.7,49.95,50.68,45.95,45.27,70.66,48.09,183.55
30,29.81,49.95,50.62,46.34,45.71,70.61,48.29,200.96
35,34.54,49.95,50.48,46.4,45.92,70.76,48.23,218.78
40,39.65,49.95,50.44,49.53,49.09,70.86,49.75,233.58
45,44.31,49.95,50.41,47.79,47.37,70.86,48.86,250.61
50,49.55,49.95,50.37,49.33,48.96,70.83,49.65,265.98
55,54.41,49.95,50.16,47.49,47.33,70.95,48.63,283.57
60,59.57,49.95,50.22,48.29,48.07,70.95,49.05,300.5
65,64.18,49.95,50.27,47.27,46.99,70.99,48.53,318.28
70,69.54,49.95,50.23,48.08,47.84,70.98,48.94,332.74
75,74.33,49.95,50.28,48.13,47.84,70.98,48.97,347.92
80,79.78,49.95,50.2,49.35,49.15,71.1,49.51,362.82
85,84.46,49.95,50.24,48.37,48.13,71.02,49.06,381.1
90,89.75,49.95,50.24,48.21,47.96,70.95,49,394.36
95,94.55,49.95,50.22,47.66,47.45,71.01,48.69,410.77
100,100,49.95,50.21,48.7,48.49,71.06,49.19,423.48
