size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,50.57,50.57,100,100,100,67.13,0.26
0.02,0.02,50.57,50.57,100,100,100,67.13,0.27
0.03,0.03,50.57,50.57,100,100,100,67.13,0.27
0.04,0.04,50.57,50.57,100,100,100,67.13,0.26
0.05,0.05,50.57,50.57,100,100,100,67.13,0.26
0.06,0.06,50.31,45.44,90,90,100,60.35,0.26
0.07,0.06,50.24,30.41,60,60,100,40.33,0.26
0.08,0.07,50.57,50.57,100,100,100,67.13,0.26
0.09,0.08,50.57,50.57,100,100,100,67.13,0.26
0.1,0.08,50.57,50.57,100,100,100,67.13,0.27
0.2,0.19,50.57,50.57,100,100,100,67.13,0.28
0.3,0.3,50.57,50.57,100,100,100,67.13,0.27
0.4,0.42,50.57,50.57,100,100,100,67.13,0.27
0.5,0.52,50.57,50.57,100,100,100,67.13,0.28
0.6,0.71,50.57,50.57,100,100,100,67.13,0.28
0.7,0.89,50.57,50.57,100,100,100,67.13,0.28
0.8,1.03,50.57,50.57,100,100,100,67.13,0.28
0.9,1.23,50.57,50.57,100,100,100,67.13,0.28
1,1.38,50.57,50.57,100,100,100,67.13,0.29
5,4.89,50.57,50.57,100,100,100,67.13,5.03
10,10.14,50.03,50.68,48.59,48.45,72.47,48.86,12.99
15,14.84,50.34,50.52,85.12,85.31,86.79,63.32,17.3
20,20,50.12,51.57,27.19,26.42,78.05,34.89,24.37
25,24.7,50.11,50.39,82.33,82.89,85.04,62.4,27.71
30,29.81,50.31,51.92,34.92,33.76,79,38.8,34.88
35,34.54,49.74,50.19,86.68,88.02,89.25,63.45,38.05
40,39.65,49.97,50.85,48.38,48.47,75.82,47.61,44.53
45,44.31,49.59,50.08,84.14,85.78,87.52,62.68,45.28
50,49.55,50.76,52.33,30.77,28.79,75.2,38.52,51.93
55,54.41,49.75,50.22,79.93,81.08,85.34,61.15,53.33
60,59.57,50.04,50.94,37.28,36.89,73.75,42.38,59.91
65,64.18,49.71,50.18,82.13,83.44,85.85,62.11,66.45
70,69.54,50.34,51.23,35.55,34.63,74.54,40.99,65.07
75,74.33,49.62,50.24,69.2,70.28,79.84,57.3,69.98
80,79.78,49.75,50.49,38.88,39.24,74.38,42.96,73.43
85,84.46,49.34,50.02,71.03,72.73,81.73,57.67,77.92
90,89.75,49.63,50.39,40.58,41.09,73.53,44.27,82.12
95,94.55,49.18,49.88,70.77,72.79,81.51,57.58,87.23
100,100,49.34,50.05,33.83,34.79,77.2,38.79,92.02
