size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,50.57,50.57,100,100,100,67.13,0
0.02,0.02,50.57,50.57,100,100,100,67.13,0.01
0.03,0.03,50.57,50.57,100,100,100,67.13,0.01
0.04,0.04,50.57,50.57,100,100,100,67.13,0.02
0.05,0.05,50.57,50.57,100,100,100,67.13,0.02
0.06,0.06,50.57,45.21,74.24,74.27,90.84,54.74,0.03
0.07,0.06,50.57,40.1,61.06,61.15,88.43,47.09,0.04
0.08,0.07,50.57,50.31,87.99,88.02,90.14,63.66,0.05
0.09,0.08,50.57,50.39,89.91,89.9,91.41,64.31,0.06
0.1,0.08,50.57,50.39,89.91,89.9,91.41,64.31,0.07
0.2,0.19,50.57,50.5,89.91,89.77,91.07,64.44,0.21
0.3,0.3,50.57,50.48,94.52,94.42,94.87,65.69,0.46
0.4,0.42,50.57,50.51,98.35,98.31,98.33,66.69,0.84
0.5,0.52,50.57,50.51,98.35,98.31,98.33,66.69,1.38
0.6,0.71,50.57,50.51,98.35,98.31,98.33,66.69,2.09
0.7,0.89,50.57,50.51,98.35,98.31,98.33,66.69,2.94
0.8,1.03,50.57,50.51,98.35,98.31,98.33,66.69,3.89
0.9,1.23,50.57,50.51,98.35,98.31,98.33,66.69,5.11
1,1.38,50.57,50.51,98.35,98.31,98.33,66.69,6.37
5,4.89,50.57,50.37,98.5,98.5,98.52,66.61,41.08
10,10.14,50.57,50.62,70.61,70.14,78.7,58.18,67.28
15,14.84,50.57,50.51,89.02,88.83,89.66,64.37,84.81
20,20,50.57,50.47,73.93,73.63,80.46,59.33,95.58
25,24.7,50.57,50.33,85.93,85.81,87.33,63.35,106.33
30,29.81,50.57,50.34,74.29,74.07,80.04,59.55,118.6
35,34.54,50.57,50.32,81.87,81.74,84.54,62.09,129.62
40,39.65,50.57,50.26,73.13,72.99,79.68,59.05,139.62
45,44.31,50.57,50.26,80.95,80.87,83.92,61.77,148.29
50,49.55,50.57,50.31,75.07,74.9,80.31,59.87,152.83
55,54.41,50.57,50.25,78.77,78.68,82.7,61.02,158.14
60,59.57,50.57,50.29,76.19,76.04,81.03,60.21,162.66
65,64.18,50.57,50.28,79.74,79.65,83.5,61.31,167.25
70,69.54,50.57,50.21,76,75.91,81.03,60.08,170.89
75,74.33,50.57,50.26,79.17,79.1,83.28,61.08,175
80,79.78,50.57,50.23,76.08,75.96,81.05,60.12,179.71
85,84.46,50.57,50.22,78.76,78.7,82.96,60.94,181.64
90,89.75,50.57,50.23,76.26,76.15,81.18,60.17,184.33
95,94.55,50.57,50.2,78.38,78.34,82.81,60.78,187.22
100,100,50.57,50.19,76.23,76.16,81.27,60.11,189.24
