size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,48.83,43.88,90,90,100,58.95,0.26
0.02,0.02,48.93,38.93,80,80,100,52.33,0.27
0.03,0.03,48.92,48.92,100,100,100,65.65,0.27
0.04,0.04,48.92,48.92,100,100,100,65.65,0.3
0.05,0.05,48.92,48.92,100,100,100,65.65,0.28
0.06,0.06,48.92,48.92,100,100,100,65.65,0.29
0.07,0.06,48.92,48.92,100,100,100,65.65,0.25
0.08,0.07,48.92,48.92,100,100,100,65.65,0.25
0.09,0.08,48.92,48.92,100,100,100,65.65,0.26
0.1,0.08,48.92,48.92,100,100,100,65.65,0.25
0.2,0.19,48.92,48.92,100,100,100,65.65,0.25
0.3,0.3,48.92,48.92,100,100,100,65.65,0.25
0.4,0.42,48.92,48.92,100,100,100,65.65,0.27
0.5,0.52,48.92,48.92,100,100,100,65.65,0.26
0.6,0.71,48.92,48.92,100,100,100,65.65,0.25
0.7,0.89,48.92,48.92,100,100,100,65.65,0.26
0.8,1.03,48.92,48.92,100,100,100,65.65,0.25
0.9,1.23,48.92,48.92,100,100,100,65.65,0.27
1,1.38,48.92,48.92,100,100,100,65.65,0.26
5,4.89,49.96,49,63.99,63.56,75.79,54.66,1.31
10,10.14,50.04,48.43,41.28,41.78,73.67,43.78,3.27
15,14.84,50.07,48.84,43.52,43.63,71.99,45.68,5.26
20,20,49.96,48.2,30.68,31.69,76.93,36.88,8.21
25,24.7,50.56,49.34,37.98,37.34,73.04,42.46,9.83
30,29.81,49.35,47.12,39.4,41.37,78.73,40.3,12.33
35,34.54,50.49,49.4,44.05,43.29,71.18,46.32,13.47
40,39.65,49.96,48.73,45.56,45.85,71.99,46.69,15.32
45,44.31,49.72,48.69,49.22,49.78,72.01,48.55,16.12
50,49.55,49.35,47.57,36.11,37.94,74.82,40.67,17.64
55,54.41,49.48,48.11,41.22,42.48,73.32,43.92,19.35
60,59.57,49.02,47.43,40.35,42.74,73.93,43.3,20.73
65,64.18,50.03,48.53,37.37,37.87,73.56,41.96,22.06
70,69.54,49.55,48.05,35.93,37.22,75.1,40.43,24.37
75,74.33,49.44,48.21,41.16,42.51,73.47,43.9,25.03
80,79.78,50.14,48.55,35.48,35.92,74.93,40.31,26.5
85,84.46,49.58,48.2,40.62,41.88,73.32,43.71,27.5
90,89.75,49.27,47.64,37.46,39.39,74.13,41.76,29.13
95,94.55,49.73,48.43,42.16,43.05,72.37,44.91,31.63
100,100,49.14,46.98,33.91,36.22,76.99,38.33,31.92
