size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 41.07
0.02, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 38.21
0.03, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 38.28
0.04, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 38.20
0.05, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 37.91
0.06, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 41.68
0.07, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 38.33
0.08, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 38.20
0.09, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 39.86
0.1, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 38.42
0.2, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 41.70
0.3, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 39.05
0.4, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 40.28
0.5, 49.50, 0.00, 0.00, 0.00, 100.00, 0.00, 42.27
0.6, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 39.85
0.7, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 39.87
0.8, 49.50, 0.00, 0.00, 0.00, 100.00, 0.00, 40.42
0.9, 49.50, 0.00, 0.00, 0.00, 100.00, 0.00, 40.54
1, 49.50, 0.00, 0.00, 0.00, 100.00, 0.00, 42.29
5, 50.42, 51.12, 41.30, 40.28, 71.19, 45.64, 147.28
10, 50.81, 51.12, 59.18, 57.73, 70.71, 54.81, 279.50
15, 50.65, 51.09, 53.31, 52.07, 69.94, 52.13, 388.38
20, 51.16, 51.43, 58.97, 56.81, 70.08, 54.89, 489.57
25, 51.47, 51.90, 53.10, 50.19, 68.70, 52.44, 595.03
30, 51.98, 52.54, 50.83, 46.84, 67.91, 51.62, 760.06
35, 50.54, 51.44, 36.63, 35.27, 72.53, 42.74, 819.64
40, 51.51, 52.37, 44.02, 40.85, 69.30, 47.78, 935.11
45, 50.30, 51.05, 38.25, 37.42, 72.20, 43.69, 1023.58
50, 50.66, 51.66, 35.66, 34.04, 72.79, 42.15, 1140.86
55, 50.55, 52.14, 25.41, 23.80, 78.29, 34.13, 1256.82
60, 50.84, 52.48, 28.00, 25.87, 76.50, 36.47, 1335.99
65, 50.66, 52.97, 20.48, 18.55, 81.66, 29.49, 1439.11
70, 50.44, 52.22, 22.00, 20.53, 80.66, 30.91, 1570.85
75, 50.22, 51.63, 22.34, 21.35, 80.54, 31.15, 1647.69
80, 50.63, 52.66, 22.16, 20.32, 80.45, 31.15, 1725.85
85, 50.71, 52.71, 23.36, 21.38, 79.57, 32.33, 1838.99
90, 50.22, 51.68, 21.81, 20.81, 80.91, 30.63, 1907.56
95, 50.82, 53.48, 20.13, 17.86, 81.85, 29.21, 2021.92
100, 50.59, 52.92, 19.62, 17.81, 82.33, 28.59, 2180.81
