size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.01
0.02, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.01
0.03, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.03
0.04, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.04
0.05, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.06
0.06, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.09
0.07, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.12
0.08, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.15
0.09, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.20
0.1, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.24
0.2, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 1.09
0.3, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 2.60
0.4, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 4.83
0.5, 49.23, 0.00, 0.00, 0.00, 100.00, 0.00, 7.76
0.6, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 11.57
0.7, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 16.00
0.8, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 21.37
0.9, 49.23, 48.94, 43.28, 44.33, 71.99, 45.89, 24.79
1, 49.23, 49.16, 37.34, 38.13, 73.35, 42.39, 25.08
5, 49.23, 50.83, 49.50, 48.67, 70.14, 50.10, 64.46
10, 49.23, 51.52, 43.96, 42.47, 70.31, 47.39, 119.02
15, 49.23, 50.95, 46.66, 45.71, 70.25, 48.66, 142.05
20, 49.23, 51.15, 48.43, 47.28, 69.96, 49.71, 163.87
25, 49.23, 50.63, 50.12, 49.49, 70.26, 50.33, 182.03
30, 49.23, 50.29, 49.96, 49.67, 70.51, 50.07, 197.95
35, 49.23, 50.36, 53.80, 53.45, 70.65, 51.97, 220.73
40, 49.23, 50.47, 51.08, 50.61, 70.39, 50.72, 243.78
45, 49.23, 50.33, 53.86, 53.53, 70.67, 51.98, 263.77
50, 49.23, 50.06, 54.02, 53.96, 70.89, 51.92, 278.13
55, 49.23, 49.33, 55.98, 56.64, 71.74, 52.40, 293.68
60, 49.23, 50.01, 51.89, 51.88, 70.75, 50.89, 308.96
65, 49.23, 49.78, 56.23, 56.44, 71.43, 52.76, 324.90
70, 49.23, 49.96, 57.21, 57.24, 71.47, 53.29, 341.66
75, 49.23, 49.60, 57.81, 58.20, 71.88, 53.34, 358.56
80, 49.23, 49.69, 57.37, 57.67, 71.72, 53.21, 376.15
85, 49.23, 49.69, 56.50, 56.81, 71.55, 52.83, 436.00
90, 49.23, 50.08, 52.38, 52.31, 70.73, 51.16, 427.46
95, 49.23, 50.10, 52.03, 51.93, 70.69, 51.00, 435.83
100, 49.23, 49.72, 55.44, 55.72, 71.34, 52.37, 447.40
