size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.25
0.02, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.27
0.03, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.04, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.05, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.06, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.07, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.08, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.09, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.27
0.1, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.2, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.3, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.4, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.26
0.5, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.27
0.6, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.27
0.7, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.27
0.8, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.30
0.9, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.28
1, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.27
5, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 4.74
10, 50.74, 51.64, 32.96, 31.26, 73.97, 40.19, 12.77
15, 50.11, 50.25, 86.24, 86.47, 87.56, 63.45, 17.19
20, 50.85, 51.79, 33.45, 31.53, 73.64, 40.60, 24.76
25, 51.50, 51.17, 78.89, 76.23, 79.10, 62.03, 27.88
30, 50.43, 50.85, 44.05, 43.12, 70.64, 47.16, 33.89
35, 49.51, 49.90, 89.58, 91.07, 91.66, 64.05, 37.54
40, 49.91, 50.27, 41.74, 41.81, 71.71, 45.56, 41.51
45, 49.55, 49.92, 87.88, 89.26, 90.08, 63.63, 45.61
50, 51.28, 52.74, 30.47, 27.65, 74.83, 38.58, 49.81
55, 49.80, 50.06, 90.42, 91.34, 91.84, 64.40, 52.46
60, 50.43, 51.50, 25.30, 24.13, 78.50, 33.89, 56.96
65, 49.82, 50.08, 87.22, 88.05, 88.97, 63.58, 59.38
70, 50.16, 50.59, 39.78, 39.33, 71.93, 44.49, 63.66
75, 48.90, 49.46, 71.98, 74.47, 79.57, 58.59, 68.73
80, 50.47, 51.88, 21.47, 20.16, 81.08, 30.33, 71.71
85, 48.30, 49.15, 79.38, 83.18, 85.69, 60.66, 81.71
90, 50.13, 50.37, 60.04, 59.90, 72.00, 54.74, 80.25
95, 49.17, 49.68, 80.45, 82.50, 84.78, 61.38, 82.51
100, 50.09, 50.74, 27.31, 26.84, 77.49, 35.46, 87.10
