size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 52.39, 52.39, 100.00, 100.00, 100.00, 68.71, 0.00
0.02, 51.06, 51.06, 100.00, 100.00, 100.00, 67.56, 0.00
0.03, 51.06, 51.06, 100.00, 100.00, 100.00, 67.56, 0.00
0.04, 50.77, 51.84, 45.39, 43.58, 69.86, 48.35, 0.00
0.05, 50.77, 50.47, 40.37, 39.92, 71.76, 44.81, 0.00
0.06, 50.77, 49.95, 90.04, 90.06, 90.61, 64.21, 0.00
0.07, 50.77, 51.40, 37.90, 36.59, 72.08, 43.58, 0.00
0.08, 50.77, 53.82, 26.40, 23.53, 77.27, 35.38, 0.00
0.09, 50.77, 50.70, 94.80, 94.66, 94.80, 66.02, 0.00
0.1, 50.77, 50.47, 49.58, 49.11, 70.38, 49.97, 0.00
0.2, 50.77, 49.60, 76.20, 76.49, 80.11, 60.04, 0.00
0.3, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.01
0.4, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.01
0.5, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.01
0.6, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.01
0.7, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.02
0.8, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.02
0.9, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.02
1, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.02
5, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.12
10, 50.77, 50.73, 52.23, 51.50, 70.25, 51.42, 0.24
15, 50.77, 50.70, 99.25, 99.23, 99.23, 67.07, 0.37
20, 50.77, 50.97, 63.51, 62.60, 72.46, 56.50, 0.50
25, 50.77, 50.72, 98.33, 98.28, 98.29, 66.87, 0.70
30, 50.77, 51.71, 51.43, 49.73, 69.51, 51.52, 0.88
35, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 1.12
40, 50.77, 51.51, 51.17, 49.66, 69.65, 51.29, 1.36
45, 50.77, 50.49, 80.12, 79.81, 82.25, 61.89, 1.60
50, 50.77, 51.55, 51.30, 49.75, 69.62, 51.37, 1.84
55, 50.77, 50.81, 99.78, 99.77, 99.77, 67.29, 2.10
60, 50.77, 51.98, 53.81, 51.84, 69.43, 52.83, 2.39
65, 50.77, 50.77, 99.96, 99.95, 99.95, 67.30, 2.51
70, 50.77, 51.98, 53.81, 51.84, 69.43, 52.83, 2.90
75, 50.77, 50.63, 94.98, 94.85, 94.99, 66.01, 3.16
80, 50.77, 51.25, 49.54, 48.28, 69.84, 50.33, 3.33
85, 50.77, 50.68, 97.53, 97.47, 97.50, 66.65, 3.58
90, 50.77, 52.16, 52.67, 50.51, 69.22, 52.36, 3.84
95, 50.77, 50.77, 99.29, 99.27, 99.28, 67.14, 4.20
100, 50.77, 52.16, 52.67, 50.51, 69.22, 52.36, 4.45
