size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 41.80
0.02, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 40.03
0.03, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 39.47
0.04, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 39.09
0.05, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 39.58
0.06, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 38.65
0.07, 49.23, 0.00, 0.00, 0.00, 100.00, 0.00, 38.11
0.08, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 38.60
0.09, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 38.92
0.1, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 38.39
0.2, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 38.42
0.3, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 39.80
0.4, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 38.98
0.5, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 38.68
0.6, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 39.01
0.7, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 42.95
0.8, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 39.38
0.9, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 40.02
1, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 40.27
5, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 78.13
10, 50.37, 51.09, 52.62, 51.95, 70.31, 51.80, 158.39
15, 50.77, 50.78, 99.25, 99.23, 99.23, 67.14, 211.08
20, 49.34, 50.11, 49.93, 51.27, 71.66, 49.97, 298.66
25, 50.73, 50.76, 98.37, 98.41, 98.42, 66.92, 347.56
30, 48.94, 49.73, 53.28, 55.55, 72.58, 51.40, 419.95
35, 49.68, 50.24, 91.36, 93.32, 93.72, 64.79, 459.47
40, 49.25, 50.02, 47.99, 49.45, 71.77, 48.94, 527.32
45, 49.05, 49.90, 87.22, 90.32, 91.22, 63.43, 586.14
50, 48.85, 49.58, 44.29, 46.45, 72.54, 46.74, 649.62
55, 48.78, 49.70, 74.13, 77.36, 81.57, 59.46, 699.05
60, 48.06, 48.65, 41.43, 45.09, 73.92, 44.70, 760.61
65, 47.68, 48.99, 73.95, 79.41, 83.57, 58.89, 800.93
70, 47.84, 48.36, 40.28, 44.36, 74.39, 43.90, 855.45
75, 47.39, 48.72, 68.93, 74.82, 81.01, 57.04, 899.87
80, 47.01, 47.38, 39.49, 45.23, 75.55, 43.03, 972.74
85, 47.42, 48.89, 78.62, 84.77, 87.43, 60.24, 1048.76
90, 47.28, 47.88, 43.32, 48.64, 74.68, 45.44, 1074.59
95, 46.95, 48.56, 76.02, 83.05, 86.44, 59.22, 1118.77
100, 46.92, 47.18, 37.99, 43.86, 75.96, 42.04, 1196.82
