size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.00
0.02, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.00
0.03, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.01
0.04, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.02
0.05, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.02
0.06, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.03
0.07, 50.31, 49.93, 77.82, 77.87, 80.96, 60.78, 0.04
0.08, 50.31, 49.93, 77.82, 77.87, 80.96, 60.78, 0.04
0.09, 50.31, 50.42, 87.75, 87.57, 88.42, 64.00, 0.05
0.1, 50.31, 50.42, 87.75, 87.57, 88.42, 64.00, 0.05
0.2, 50.31, 50.42, 87.75, 87.57, 88.42, 64.00, 0.11
0.3, 50.31, 50.42, 87.75, 87.57, 88.42, 64.00, 0.23
0.4, 50.31, 50.15, 97.42, 97.40, 97.44, 66.17, 0.44
0.5, 50.31, 50.15, 97.42, 97.40, 97.44, 66.17, 0.86
0.6, 50.31, 50.15, 97.42, 97.40, 97.44, 66.17, 1.33
0.7, 50.31, 50.15, 97.42, 97.40, 97.44, 66.17, 2.00
0.8, 50.31, 50.15, 97.42, 97.40, 97.44, 66.17, 2.78
0.9, 50.31, 50.15, 97.42, 97.40, 97.44, 66.17, 3.63
1, 50.31, 50.15, 97.42, 97.40, 97.44, 66.17, 4.40
5, 50.31, 49.64, 95.59, 95.65, 95.75, 65.30, 34.15
10, 50.31, 50.18, 81.74, 81.63, 83.65, 62.14, 46.89
15, 50.31, 50.51, 88.15, 87.94, 88.73, 64.18, 52.66
20, 50.31, 50.16, 83.96, 83.88, 85.40, 62.76, 58.37
25, 50.31, 50.31, 89.49, 89.37, 89.99, 64.37, 69.72
30, 50.31, 50.00, 79.29, 79.29, 81.95, 61.28, 81.39
35, 50.31, 50.03, 79.55, 79.54, 82.12, 61.38, 90.25
40, 50.31, 49.87, 76.53, 76.62, 80.13, 60.34, 93.73
45, 50.31, 50.06, 79.24, 79.21, 81.88, 61.31, 101.42
50, 50.31, 50.41, 71.22, 70.89, 76.51, 58.99, 97.62
55, 50.31, 50.14, 82.58, 82.51, 84.32, 62.35, 100.69
60, 50.31, 50.03, 78.98, 78.96, 81.71, 61.21, 101.32
65, 50.31, 50.14, 82.58, 82.51, 84.32, 62.35, 103.84
70, 50.31, 50.15, 81.74, 81.65, 83.66, 62.11, 106.03
75, 50.31, 50.11, 82.32, 82.25, 84.13, 62.25, 109.83
80, 50.31, 49.93, 77.64, 77.69, 80.84, 60.73, 113.08
85, 50.31, 50.08, 80.67, 80.62, 82.90, 61.75, 113.21
90, 50.31, 50.06, 80.40, 80.37, 82.72, 61.65, 116.11
95, 50.31, 50.08, 80.67, 80.62, 82.90, 61.75, 116.96
100, 50.31, 50.06, 80.40, 80.37, 82.72, 61.65, 112.85
