size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.16
0.02, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 43.03
0.03, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.85
0.04, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.38
0.05, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 38.62
0.06, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 38.45
0.07, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 38.29
0.08, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.11
0.09, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 41.10
0.1, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.51
0.2, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.72
0.3, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 40.07
0.4, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 38.97
0.5, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.10
0.6, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 40.62
0.7, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 40.03
0.8, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 40.13
0.9, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.11
1, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.30
5, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 47.89
10, 49.79, 45.87, 27.88, 30.14, 78.16, 34.63, 73.32
15, 48.85, 47.02, 55.17, 56.95, 72.48, 50.72, 115.34
20, 49.60, 45.64, 28.37, 30.96, 78.03, 34.95, 128.45
25, 51.34, 48.98, 42.56, 40.61, 70.35, 45.50, 155.63
30, 49.84, 46.86, 36.75, 38.18, 73.88, 41.14, 178.84
35, 50.49, 48.07, 44.24, 43.77, 70.89, 46.03, 199.99
40, 50.73, 48.09, 38.42, 38.00, 72.36, 42.67, 223.08
45, 49.69, 46.76, 37.64, 39.26, 73.69, 41.65, 249.96
50, 50.31, 47.10, 32.02, 32.94, 75.54, 38.08, 266.65
55, 49.32, 46.54, 40.39, 42.51, 73.21, 43.20, 291.76
60, 48.99, 45.90, 37.54, 40.52, 74.46, 41.25, 314.34
65, 49.36, 46.53, 39.61, 41.70, 73.39, 42.74, 331.70
70, 48.94, 46.17, 40.99, 43.77, 73.48, 43.37, 359.12
75, 49.36, 46.62, 40.79, 42.78, 73.05, 43.46, 366.76
80, 49.13, 45.65, 33.60, 36.64, 75.84, 38.66, 395.71
85, 49.65, 46.82, 39.21, 40.79, 73.21, 42.63, 419.38
90, 50.21, 47.06, 33.10, 34.12, 75.09, 38.82, 441.09
95, 50.35, 47.60, 38.13, 38.45, 72.84, 42.29, 457.11
100, 49.74, 46.57, 34.78, 36.55, 74.77, 39.77, 500.94
