size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.00
0.02, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.00
0.03, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.00
0.04, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.00
0.05, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.00
0.06, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.01
0.07, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.01
0.08, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.01
0.09, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.01
0.1, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.02
0.2, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.07
0.3, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.16
0.4, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.31
0.5, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.50
0.6, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 0.71
0.7, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 1.01
0.8, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 1.31
0.9, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 1.70
1, 47.91, 47.91, 100.00, 100.00, 100.00, 64.74, 2.15
5, 47.91, 48.63, 57.82, 59.16, 72.65, 52.78, 6.57
10, 47.91, 48.74, 59.41, 60.61, 72.95, 53.50, 10.36
15, 47.91, 48.52, 60.00, 61.41, 73.29, 53.60, 16.95
20, 47.91, 47.81, 53.96, 56.13, 72.60, 50.65, 25.78
25, 47.91, 47.72, 49.80, 52.08, 72.33, 48.69, 29.78
30, 47.91, 47.48, 50.40, 52.91, 72.53, 48.85, 34.20
35, 47.91, 47.45, 47.92, 50.47, 72.52, 47.63, 39.15
40, 47.91, 47.51, 44.46, 46.93, 72.71, 45.88, 44.63
45, 47.91, 46.96, 44.36, 47.38, 73.08, 45.57, 50.18
50, 47.91, 46.80, 40.50, 43.62, 73.78, 43.37, 56.38
55, 47.91, 48.49, 46.04, 47.55, 71.92, 47.18, 62.29
60, 47.91, 47.84, 40.50, 42.60, 73.18, 43.81, 69.47
65, 47.91, 47.39, 43.96, 46.55, 72.85, 45.56, 74.59
70, 47.91, 47.62, 41.68, 44.01, 73.06, 44.41, 81.91
75, 47.91, 47.20, 45.84, 48.64, 72.79, 46.46, 86.84
80, 47.91, 46.90, 44.95, 48.04, 73.06, 45.85, 91.37
85, 47.91, 47.75, 43.17, 45.39, 72.73, 45.30, 94.96
90, 47.91, 48.07, 45.74, 47.66, 72.22, 46.83, 98.30
95, 47.91, 47.37, 43.76, 46.36, 72.89, 45.45, 102.00
100, 47.91, 47.13, 44.65, 47.51, 72.94, 45.81, 104.96
