size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.34, 48.31, 46.45, 47.87, 71.83, 47.31, 244.78
0.02, 49.04, 48.28, 54.17, 55.89, 72.28, 51.01, 232.21
0.03, 50.11, 49.33, 62.55, 61.88, 72.33, 55.11, 239.46
0.04, 49.85, 49.10, 60.28, 60.19, 72.11, 54.07, 229.04
0.05, 49.87, 49.08, 57.98, 57.94, 71.58, 53.11, 238.44
0.06, 49.45, 48.79, 61.39, 62.06, 73.09, 54.32, 232.87
0.07, 49.89, 48.99, 51.85, 52.00, 70.86, 50.33, 240.04
0.08, 49.48, 48.83, 62.07, 62.65, 73.24, 54.61, 228.08
0.09, 49.92, 49.13, 58.80, 58.64, 71.67, 53.48, 230.65
0.1, 49.38, 48.79, 63.61, 64.32, 73.90, 55.17, 231.45
0.2, 49.71, 48.65, 45.09, 45.84, 71.53, 46.75, 234.58
0.3, 50.00, 49.13, 54.26, 54.11, 70.85, 51.52, 230.17
0.4, 50.69, 49.70, 42.02, 40.96, 70.99, 45.49, 238.85
0.5, 50.07, 48.58, 30.25, 30.84, 76.26, 37.24, 234.66
0.6, 50.21, 49.04, 37.53, 37.57, 72.90, 42.47, 232.35
0.7, 50.47, 49.45, 42.28, 41.63, 71.17, 45.53, 232.06
0.8, 50.15, 49.05, 41.49, 41.52, 71.74, 44.91, 232.88
0.9, 50.51, 49.51, 44.20, 43.42, 70.70, 46.66, 234.91
1, 50.42, 49.28, 36.21, 35.90, 73.20, 41.70, 234.25
5, 49.52, 48.81, 59.22, 59.83, 72.40, 53.47, 246.21
10, 49.58, 48.50, 44.77, 45.79, 71.75, 46.51, 271.74
15, 49.16, 48.39, 54.27, 55.76, 72.11, 51.11, 325.08
20, 49.66, 48.52, 42.77, 43.71, 72.01, 45.41, 316.62
25, 49.65, 48.70, 49.21, 49.92, 71.22, 48.90, 352.01
30, 49.62, 48.34, 39.14, 40.28, 72.99, 43.21, 342.93
35, 49.08, 48.10, 48.12, 50.01, 72.05, 48.06, 381.51
40, 49.98, 49.02, 48.30, 48.39, 70.82, 48.60, 317.02
45, 49.68, 48.43, 39.68, 40.70, 72.76, 43.57, 362.52
50, 49.43, 47.91, 35.06, 36.72, 74.60, 40.44, 527.69
55, 50.00, 48.95, 44.34, 44.54, 71.29, 46.48, 399.43
60, 49.80, 48.33, 33.61, 34.60, 74.87, 39.60, 412.98
65, 49.61, 48.16, 35.28, 36.58, 74.34, 40.68, 559.41
70, 50.10, 48.90, 37.68, 37.93, 72.96, 42.51, 510.80
75, 50.10, 48.86, 36.32, 36.62, 73.46, 41.61, 411.95
80, 49.97, 48.86, 42.58, 42.92, 71.69, 45.46, 650.71
85, 50.13, 48.78, 32.67, 33.05, 75.00, 39.09, 570.38
90, 50.25, 48.44, 21.66, 22.21, 81.43, 29.89, 595.81
95, 50.23, 48.87, 31.11, 31.35, 75.69, 37.97, 608.21
100, 49.94, 48.29, 28.59, 29.49, 77.26, 35.87, 424.85
