size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 48.63, 48.36, 59.20, 61.67, 73.95, 53.18, 307.17
0.02, 48.88, 48.35, 51.47, 53.65, 72.34, 49.81, 271.92
0.03, 49.19, 48.93, 66.13, 67.34, 75.38, 56.20, 279.38
0.04, 49.03, 48.92, 73.01, 74.36, 79.11, 58.54, 269.85
0.05, 49.87, 49.35, 57.42, 57.49, 71.54, 53.03, 270.63
0.06, 50.07, 49.44, 48.71, 48.60, 70.66, 49.02, 271.56
0.07, 49.99, 49.27, 42.98, 43.17, 71.52, 45.86, 271.31
0.08, 49.89, 49.35, 56.02, 56.09, 71.27, 52.43, 277.83
0.09, 50.31, 49.73, 59.20, 58.37, 71.22, 54.00, 266.03
0.1, 50.15, 49.60, 60.38, 59.84, 71.77, 54.42, 275.49
0.2, 50.33, 49.74, 56.14, 55.33, 70.61, 52.69, 272.39
0.3, 50.75, 50.12, 53.76, 52.19, 69.73, 51.83, 264.48
0.4, 49.66, 49.10, 52.92, 53.52, 71.28, 50.89, 278.00
0.5, 49.47, 48.79, 47.04, 48.15, 71.58, 47.85, 280.10
0.6, 49.90, 49.22, 45.74, 46.03, 71.16, 47.37, 275.76
0.7, 49.76, 49.16, 50.95, 51.41, 71.05, 49.99, 266.49
0.8, 50.15, 49.53, 50.21, 49.91, 70.50, 49.82, 273.20
0.9, 49.77, 49.03, 43.46, 44.07, 71.68, 46.03, 262.36
1, 49.98, 49.20, 40.14, 40.42, 72.23, 44.16, 275.23
5, 49.36, 48.90, 57.10, 58.20, 72.30, 52.63, 303.09
10, 49.75, 48.80, 35.80, 36.65, 73.92, 41.25, 335.69
15, 49.42, 48.59, 42.03, 43.37, 72.40, 45.02, 366.04
20, 49.98, 49.15, 37.38, 37.72, 73.10, 42.42, 399.23
25, 49.74, 48.88, 38.88, 39.66, 72.86, 43.26, 425.12
30, 49.13, 47.83, 33.19, 35.32, 75.57, 39.14, 460.07
35, 49.11, 47.82, 33.59, 35.76, 75.42, 39.41, 478.07
40, 49.47, 48.25, 32.14, 33.63, 75.74, 38.53, 491.21
45, 49.21, 47.97, 33.79, 35.76, 75.25, 39.60, 527.40
50, 49.19, 47.74, 30.63, 32.71, 76.69, 37.27, 538.37
55, 49.34, 47.99, 31.02, 32.79, 76.38, 37.63, 568.06
60, 48.92, 47.07, 27.59, 30.27, 78.48, 34.74, 592.20
65, 49.00, 47.55, 31.94, 34.37, 76.24, 38.17, 606.03
70, 49.42, 47.93, 28.13, 29.81, 77.81, 35.41, 632.37
75, 49.26, 47.67, 28.19, 30.20, 77.90, 35.38, 674.40
80, 49.13, 47.23, 25.63, 27.94, 79.44, 33.18, 677.49
85, 48.88, 47.00, 27.63, 30.39, 78.49, 34.76, 733.11
90, 49.00, 47.08, 26.42, 28.97, 79.08, 33.80, 729.96
95, 48.61, 46.08, 23.87, 27.25, 80.86, 31.40, 758.82
100, 48.87, 46.72, 25.24, 28.09, 79.86, 32.73, 767.34
