size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 1.79
0.02, 49.38, 48.75, 53.75, 54.99, 71.85, 51.08, 4.67
0.03, 49.38, 48.78, 71.92, 72.90, 78.12, 58.08, 7.33
0.04, 49.38, 49.11, 81.59, 82.12, 84.16, 61.27, 11.56
0.05, 49.38, 49.23, 61.28, 62.02, 73.11, 54.55, 15.49
0.06, 49.38, 49.39, 54.70, 55.31, 71.49, 51.86, 16.47
0.07, 49.38, 49.21, 52.74, 53.53, 71.41, 50.86, 21.73
0.08, 49.38, 49.23, 61.28, 62.02, 73.11, 54.55, 22.75
0.09, 49.38, 49.23, 61.28, 62.02, 73.11, 54.55, 21.97
0.1, 49.38, 49.06, 59.32, 60.22, 72.67, 53.66, 31.37
0.2, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 26.94
0.3, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 28.09
0.4, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.38
0.5, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 28.00
0.6, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.71
0.7, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.70
0.8, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 31.54
0.9, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 28.02
1, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 28.12
5, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.60
10, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.37
15, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 36.09
20, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.38
25, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.36
30, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.45
35, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.46
40, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.34
45, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.62
50, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.32
55, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.38
60, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.45
65, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.39
70, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.33
75, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.29
80, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.51
85, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.42
90, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.52
95, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.41
100, 49.38, 49.57, 62.95, 63.35, 73.39, 55.41, 27.57
