size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.06, 49.06, 100.00, 100.00, 100.00, 65.78, 247.66
0.02, 50.94, 0.00, 0.00, 0.00, 100.00, 0.00, 233.19
0.03, 49.06, 49.06, 100.00, 100.00, 100.00, 65.78, 249.66
0.04, 49.06, 49.06, 100.00, 100.00, 100.00, 65.78, 232.21
0.05, 49.06, 49.06, 100.00, 100.00, 100.00, 65.78, 248.78
0.06, 50.94, 0.00, 0.00, 0.00, 100.00, 0.00, 232.23
0.07, 49.06, 49.06, 100.00, 100.00, 100.00, 65.78, 248.82
0.08, 49.06, 49.06, 100.00, 100.00, 100.00, 65.78, 229.28
0.09, 49.06, 49.06, 100.00, 100.00, 100.00, 65.78, 243.80
0.1, 49.06, 49.06, 100.00, 100.00, 100.00, 65.78, 231.09
0.2, 49.06, 49.06, 100.00, 100.00, 100.00, 65.78, 232.61
0.3, 50.94, 0.00, 0.00, 0.00, 100.00, 0.00, 226.97
0.4, 50.94, 0.00, 0.00, 0.00, 100.00, 0.00, 230.58
0.5, 50.44, 48.91, 22.91, 23.05, 80.46, 31.16, 229.60
0.6, 48.95, 48.63, 71.89, 73.14, 78.36, 57.97, 228.64
0.7, 49.90, 48.62, 36.98, 37.65, 73.41, 41.96, 229.46
0.8, 50.27, 48.58, 23.21, 23.67, 80.35, 31.37, 233.36
0.9, 50.21, 48.97, 34.97, 35.10, 73.90, 40.75, 230.88
1, 50.18, 48.76, 30.29, 30.66, 76.15, 37.32, 232.18
5, 49.72, 48.46, 38.86, 39.81, 72.96, 43.08, 241.89
10, 49.61, 48.77, 53.79, 54.42, 71.39, 51.11, 266.27
15, 50.80, 48.81, 5.70, 5.75, 94.48, 10.18, 278.28
20, 50.62, 48.30, 9.12, 9.41, 91.36, 15.32, 297.20
25, 50.37, 48.32, 16.53, 17.03, 85.19, 24.60, 318.18
30, 50.40, 47.09, 8.86, 9.59, 91.64, 14.88, 319.31
35, 50.53, 46.79, 6.06, 6.64, 94.17, 10.71, 337.71
40, 50.34, 48.10, 15.45, 16.06, 86.06, 23.35, 347.01
45, 49.62, 48.13, 34.63, 35.94, 74.60, 40.23, 354.86
50, 50.56, 48.49, 12.36, 12.65, 88.55, 19.67, 362.46
55, 50.63, 49.51, 30.99, 30.44, 75.43, 38.07, 378.69
60, 50.50, 49.34, 33.17, 32.80, 74.45, 39.62, 386.59
65, 50.37, 49.06, 29.88, 29.88, 76.23, 37.09, 396.03
70, 50.36, 47.20, 9.87, 10.63, 90.76, 16.29, 407.06
75, 49.91, 46.45, 13.70, 15.21, 87.63, 21.12, 424.96
80, 50.83, 49.84, 34.05, 33.00, 73.75, 40.41, 446.85
85, 50.97, 50.06, 30.02, 28.84, 75.69, 37.48, 443.74
90, 50.78, 49.71, 26.84, 26.16, 77.70, 34.81, 459.87
95, 50.78, 49.74, 30.87, 30.05, 75.38, 38.05, 478.80
100, 50.26, 47.60, 13.65, 14.47, 87.56, 21.18, 504.81
