size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.06, 48.77, 76.76, 77.63, 81.03, 59.60, 1.06
0.02, 49.06, 48.58, 77.87, 78.84, 81.88, 59.79, 1.77
0.03, 49.06, 49.54, 50.78, 51.24, 71.05, 50.10, 2.33
0.04, 49.06, 49.04, 79.96, 80.57, 83.03, 60.75, 3.49
0.05, 49.06, 48.57, 63.80, 65.11, 74.50, 55.10, 3.48
0.06, 49.16, 48.60, 63.49, 64.77, 74.36, 55.01, 4.26
0.07, 49.05, 48.51, 61.07, 62.47, 73.61, 54.02, 4.91
0.08, 49.06, 48.59, 72.78, 73.89, 78.74, 58.22, 5.88
0.09, 49.06, 48.51, 64.93, 66.27, 74.98, 55.49, 7.02
0.1, 49.06, 48.51, 64.93, 66.27, 74.98, 55.49, 7.42
0.2, 49.06, 48.65, 65.89, 67.09, 75.27, 55.92, 13.59
0.3, 49.06, 48.78, 23.34, 24.22, 80.40, 31.53, 20.28
0.4, 49.06, 49.17, 40.40, 41.20, 72.45, 44.31, 36.12
0.5, 49.06, 49.09, 44.08, 44.97, 71.76, 46.40, 31.93
0.6, 49.06, 48.87, 45.50, 46.62, 71.72, 47.08, 41.07
0.7, 49.06, 48.84, 45.12, 46.27, 71.78, 46.86, 45.77
0.8, 49.06, 48.85, 46.61, 47.76, 71.63, 47.65, 53.84
0.9, 49.12, 48.70, 61.05, 62.28, 73.46, 54.13, 60.79
1, 49.06, 48.64, 61.10, 62.39, 73.52, 54.11, 63.91
5, 49.06, 48.55, 57.27, 58.69, 72.59, 52.50, 336.21
10, 49.06, 48.61, 32.38, 33.61, 75.51, 38.82, 881.30
15, 49.06, 48.75, 33.48, 34.60, 74.98, 39.65, 1553.16
20, 49.06, 48.76, 31.96, 33.04, 75.64, 38.56, 2443.70
25, 49.06, 48.38, 48.29, 49.90, 71.86, 48.29, 2955.55
30, 49.06, 51.30, 5.22, 4.97, 94.91, 9.45, 3658.59
35, 49.06, 48.55, 6.11, 6.45, 94.11, 10.84, 4495.53
40, 49.06, 50.19, 27.95, 27.79, 77.23, 35.86, 5004.02
45, 49.06, 50.10, 29.83, 29.75, 76.22, 37.34, 5688.43
50, 49.06, 49.98, 28.73, 28.75, 76.85, 36.44, 6465.76
55, 49.06, 49.96, 28.28, 28.31, 77.11, 36.07, 6893.48
60, 49.06, 50.11, 29.13, 29.04, 76.59, 36.80, 7615.13
65, 49.06, 50.50, 20.99, 20.66, 81.66, 29.62, 8410.59
70, 49.06, 49.75, 40.18, 40.42, 72.19, 44.41, 9011.96
75, 49.06, 50.16, 26.21, 26.09, 78.27, 34.38, 9760.42
80, 49.06, 50.63, 27.52, 27.02, 77.35, 35.61, 10675.62
85, 49.06, 50.27, 27.22, 27.01, 77.63, 35.27, 11084.55
90, 49.06, 50.32, 22.61, 22.38, 80.57, 31.15, 11955.69
95, 49.06, 50.24, 22.71, 22.54, 80.51, 31.23, 12562.05
100, 49.06, 51.09, 1.78, 1.70, 98.24, 3.43, 13120.66
