size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 300.41
0.02, 50.62, 0.00, 0.00, 0.00, 100.00, 0.00, 309.15
0.03, 50.62, 0.00, 0.00, 0.00, 100.00, 0.00, 299.04
0.04, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 292.43
0.05, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 295.82
0.06, 50.62, 0.00, 0.00, 0.00, 100.00, 0.00, 301.75
0.07, 50.62, 0.00, 0.00, 0.00, 100.00, 0.00, 292.94
0.08, 50.62, 0.00, 0.00, 0.00, 100.00, 0.00, 293.45
0.09, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 305.19
0.1, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 291.79
0.2, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 288.32
0.3, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 296.52
0.4, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 289.10
0.5, 50.62, 0.00, 0.00, 0.00, 100.00, 0.00, 290.90
0.6, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 359.09
0.7, 49.65, 49.25, 64.78, 65.11, 74.03, 55.91, 306.54
0.8, 49.48, 49.01, 57.24, 58.10, 72.14, 52.76, 304.58
0.9, 49.46, 48.89, 51.49, 52.51, 71.49, 50.11, 327.33
1, 49.64, 49.02, 49.54, 50.27, 71.23, 49.23, 320.25
5, 49.03, 48.80, 65.53, 67.06, 75.40, 55.89, 523.30
10, 50.33, 49.45, 25.98, 25.91, 78.42, 34.02, 769.88
15, 49.41, 48.58, 41.84, 43.21, 72.45, 44.91, 976.72
20, 49.77, 48.15, 22.31, 23.43, 81.15, 30.45, 1174.58
25, 50.23, 49.11, 21.47, 21.70, 81.47, 29.84, 1456.44
30, 50.46, 49.49, 15.64, 15.57, 85.79, 23.73, 1595.84
35, 50.63, 50.03, 18.96, 18.47, 83.12, 27.46, 1733.31
40, 50.93, 51.01, 15.75, 14.76, 85.53, 24.03, 1933.83
45, 50.36, 49.16, 15.26, 15.40, 86.13, 23.26, 2136.02
50, 50.44, 49.32, 12.65, 12.69, 88.26, 20.11, 2318.01
55, 50.28, 49.07, 18.09, 18.32, 83.94, 26.39, 2466.13
60, 50.36, 49.16, 15.43, 15.56, 85.99, 23.45, 2663.36
65, 50.78, 50.45, 18.20, 17.44, 83.64, 26.71, 2815.56
70, 50.55, 49.77, 14.59, 14.37, 86.61, 22.53, 3024.43
75, 50.41, 49.22, 13.41, 13.50, 87.63, 21.05, 3241.09
80, 50.36, 48.72, 9.74, 10.00, 90.81, 16.21, 3432.42
85, 50.06, 47.79, 12.30, 13.11, 88.67, 19.54, 3595.07
90, 50.20, 48.18, 11.10, 11.65, 89.66, 18.02, 3870.75
95, 50.28, 48.21, 9.07, 9.51, 91.43, 15.24, 4049.95
100, 50.36, 49.06, 13.30, 13.48, 87.74, 20.90, 4325.35
