size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.69
0.02, 49.38, 0.00, 0.00, 0.00, 100.00, 0.00, 1.10
0.03, 49.38, 0.00, 0.00, 0.00, 100.00, 0.00, 1.40
0.04, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 1.89
0.05, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 2.28
0.06, 49.38, 0.00, 0.00, 0.00, 100.00, 0.00, 3.16
0.07, 49.38, 0.00, 0.00, 0.00, 100.00, 0.00, 3.48
0.08, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 4.09
0.09, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 4.69
0.1, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 5.58
0.2, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 52.43
0.3, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 149.33
0.4, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 167.80
0.5, 49.38, 49.35, 51.87, 52.52, 71.24, 50.53, 311.09
0.6, 49.38, 49.17, 61.02, 61.80, 73.07, 54.41, 312.84
0.7, 49.38, 49.17, 65.14, 65.88, 74.54, 55.99, 319.74
0.8, 49.38, 49.44, 64.15, 64.67, 73.94, 55.79, 344.20
0.9, 49.38, 49.37, 54.01, 54.64, 71.42, 51.53, 328.38
1, 49.38, 49.43, 52.16, 52.73, 71.20, 50.71, 333.57
5, 49.38, 49.75, 58.99, 59.24, 72.05, 53.93, 2056.01
10, 49.38, 49.68, 37.78, 38.09, 72.95, 42.87, 4307.55
15, 49.38, 49.97, 38.37, 38.40, 72.61, 43.36, 5772.57
20, 49.38, 49.57, 35.25, 35.64, 73.91, 41.15, 7163.88
25, 49.38, 49.77, 38.80, 39.02, 72.58, 43.55, 9013.39
30, 49.38, 49.96, 35.14, 35.18, 73.79, 41.21, 10768.79
35, 49.38, 49.81, 36.17, 36.35, 73.45, 41.86, 12473.36
40, 49.38, 49.57, 30.16, 30.53, 76.22, 37.46, 14616.28
45, 49.38, 49.36, 31.19, 31.74, 75.78, 38.18, 16827.27
50, 49.38, 49.34, 30.68, 31.24, 76.04, 37.78, 18641.84
55, 49.38, 49.27, 32.76, 33.41, 75.08, 39.31, 20411.56
60, 49.38, 49.03, 31.34, 32.18, 75.83, 38.19, 22253.74
65, 49.38, 49.11, 32.93, 33.72, 75.07, 39.37, 23775.67
70, 49.38, 49.07, 32.44, 33.26, 75.30, 39.01, 26563.46
75, 49.38, 48.98, 32.98, 33.88, 75.10, 39.37, 29404.32
80, 49.38, 48.73, 31.60, 32.71, 75.82, 38.29, 31954.03
85, 49.38, 48.75, 31.84, 32.94, 75.70, 38.47, 31915.53
90, 49.38, 48.75, 31.51, 32.60, 75.85, 38.23, 35664.43
95, 49.38, 48.71, 29.79, 30.88, 76.70, 36.92, 36253.10
100, 49.38, 48.46, 29.62, 30.92, 76.88, 36.72, 37636.76
