size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.00, 24.62, 50.00, 50.00, 100.00, 32.97, 267.43
0.02, 50.76, 0.00, 0.00, 0.00, 100.00, 0.00, 259.82
0.03, 49.72, 29.48, 60.00, 60.00, 100.00, 39.51, 251.34
0.04, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 254.09
0.05, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 260.97
0.06, 50.28, 19.76, 40.00, 40.00, 100.00, 26.44, 268.73
0.07, 50.00, 19.62, 40.00, 40.00, 100.00, 26.31, 267.37
0.08, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 261.69
0.09, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 269.95
0.10, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 262.50
0.20, 49.65, 39.45, 80.00, 80.00, 100.00, 52.80, 267.31
0.30, 50.27, 19.75, 40.00, 40.00, 100.00, 26.43, 261.18
0.40, 49.84, 34.54, 70.00, 70.00, 100.00, 46.22, 269.71
0.50, 49.70, 49.04, 57.22, 57.70, 75.38, 51.46, 258.29
0.60, 49.77, 49.14, 58.06, 58.35, 74.12, 52.38, 265.02
0.70, 49.84, 48.95, 43.33, 43.84, 73.26, 45.13, 268.10
0.80, 49.67, 48.73, 44.13, 45.03, 73.53, 45.50, 276.49
0.90, 49.79, 48.95, 47.48, 47.98, 74.17, 47.08, 265.08
1.00, 49.90, 49.06, 43.91, 44.33, 73.21, 45.51, 277.87
5.00, 49.42, 48.99, 66.63, 67.27, 76.70, 55.95, 281.79
10.00, 50.53, 49.62, 17.74, 17.63, 85.87, 24.08, 298.92
15.00, 49.92, 49.22, 42.26, 42.53, 81.09, 39.85, 310.23
20.00, 50.32, 48.65, 18.32, 18.65, 85.81, 24.15, 336.52
25.00, 49.83, 48.36, 27.48, 28.35, 82.89, 30.82, 341.52
30.00, 50.36, 48.23, 13.06, 13.52, 88.75, 19.19, 344.49
35.00, 49.97, 48.38, 31.84, 32.52, 81.16, 33.88, 379.07
40.00, 50.55, 49.47, 19.08, 18.94, 84.05, 25.87, 403.69
45.00, 50.02, 48.71, 35.22, 35.49, 77.88, 37.76, 414.79
50.00, 50.27, 48.92, 26.49, 26.68, 79.43, 32.90, 434.93
55.00, 50.42, 49.44, 29.55, 29.37, 76.93, 36.44, 435.75
60.00, 50.33, 49.18, 27.07, 27.12, 78.33, 34.40, 444.64
65.00, 50.39, 49.16, 26.18, 26.17, 78.75, 33.55, 462.35
70.00, 50.29, 48.36, 21.13, 21.42, 82.72, 27.91, 463.69
75.00, 50.34, 48.16, 15.87, 16.16, 86.75, 21.62, 467.77
80.00, 50.55, 49.46, 23.22, 22.86, 81.13, 29.83, 464.87
85.00, 50.59, 49.17, 23.16, 22.73, 81.52, 29.00, 497.75
90.00, 50.62, 49.43, 21.78, 21.37, 81.55, 29.34, 513.30
95.00, 50.60, 49.33, 23.17, 22.75, 80.85, 30.33, 533.99
100.00, 50.53, 49.44, 22.88, 22.61, 81.10, 30.22, 531.00
