size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.59, 39.41, 80.00, 80.00, 100.00, 52.77, 308.61
0.02, 50.76, 0.00, 0.00, 0.00, 100.00, 0.00, 302.96
0.03, 49.72, 29.48, 60.00, 60.00, 100.00, 39.51, 299.26
0.04, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 295.76
0.05, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 304.68
0.06, 50.28, 19.76, 40.00, 40.00, 100.00, 26.44, 295.75
0.07, 50.00, 19.62, 40.00, 40.00, 100.00, 26.31, 295.64
0.08, 49.36, 44.30, 90.00, 90.00, 100.00, 59.33, 294.13
0.09, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 295.38
0.10, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 295.56
0.20, 49.89, 34.56, 70.00, 70.00, 100.00, 46.25, 299.17
0.30, 50.27, 19.75, 40.00, 40.00, 100.00, 26.43, 300.19
0.40, 50.08, 29.66, 60.00, 60.00, 100.00, 39.67, 294.60
0.50, 50.67, 4.96, 10.00, 10.00, 100.00, 6.62, 296.22
0.60, 50.30, 14.77, 30.00, 30.00, 100.00, 19.78, 304.76
0.70, 49.71, 49.14, 59.82, 60.10, 73.56, 53.55, 311.55
0.80, 49.79, 49.08, 52.42, 52.78, 71.56, 50.49, 311.29
0.90, 49.86, 49.13, 51.83, 52.06, 71.68, 50.17, 318.69
1.00, 49.85, 49.09, 50.04, 50.34, 71.54, 49.31, 324.34
5.00, 49.21, 48.91, 70.47, 71.39, 77.53, 57.62, 523.38
10.00, 50.11, 48.90, 27.71, 28.14, 77.76, 35.14, 770.11
15.00, 49.68, 48.58, 37.04, 38.04, 74.15, 41.64, 975.73
20.00, 49.86, 48.23, 25.10, 26.11, 79.56, 32.73, 1177.15
25.00, 49.80, 48.39, 28.52, 29.53, 77.70, 35.49, 1381.76
30.00, 50.03, 48.20, 18.76, 19.62, 83.80, 26.64, 1569.90
35.00, 49.80, 47.99, 22.42, 23.62, 81.43, 30.15, 1733.75
40.00, 49.95, 47.94, 18.57, 19.59, 83.94, 26.44, 1925.36
45.00, 49.72, 47.95, 23.79, 25.12, 80.51, 31.45, 2122.81
50.00, 49.97, 48.03, 18.97, 19.95, 83.61, 26.90, 2310.85
55.00, 49.92, 48.20, 22.51, 23.49, 81.10, 30.48, 2481.21
60.00, 49.98, 48.03, 19.34, 20.29, 83.26, 27.40, 2648.14
65.00, 49.91, 48.10, 21.19, 22.22, 81.96, 29.27, 2841.22
70.00, 49.99, 47.98, 18.56, 19.51, 83.81, 26.60, 3029.37
75.00, 49.84, 47.21, 15.72, 17.05, 86.03, 23.46, 3217.72
80.00, 49.85, 47.36, 16.17, 17.47, 85.71, 23.91, 3389.32
85.00, 49.79, 47.08, 16.24, 17.67, 85.67, 23.97, 3579.92
90.00, 49.77, 47.04, 15.96, 17.43, 85.90, 23.65, 3822.07
95.00, 49.81, 47.20, 16.08, 17.44, 85.82, 23.74, 3989.91
100.00, 49.74, 47.30, 17.82, 19.28, 84.46, 25.75, 4177.58
