size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 144.67
0.02, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 142.68
0.03, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 140.52
0.04, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 143.48
0.05, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 143.63
0.06, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 127.63
0.07, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 133.20
0.08, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 140.26
0.09, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 143.13
0.10, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 148.71
0.20, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 136.22
0.30, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 128.31
0.40, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 131.40
0.50, 49.79, 14.87, 30.00, 30.00, 100.00, 19.87, 127.08
0.60, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 128.85
0.70, 50.13, 45.04, 90.00, 90.00, 100.00, 59.99, 126.68
0.80, 49.90, 4.92, 10.00, 10.00, 100.00, 6.59, 125.90
0.90, 49.98, 14.94, 17.29, 17.36, 91.53, 16.01, 126.62
1.00, 50.00, 9.82, 7.71, 7.84, 95.27, 8.26, 135.33
5.00, 50.73, 50.69, 53.73, 52.28, 71.61, 51.45, 144.62
10.00, 51.37, 51.36, 49.86, 47.20, 70.20, 50.10, 154.29
15.00, 51.00, 50.89, 57.36, 55.38, 71.33, 53.40, 171.24
20.00, 51.38, 51.85, 42.55, 39.71, 71.43, 45.73, 183.12
25.00, 51.09, 52.30, 33.96, 32.06, 79.68, 37.52, 186.03
30.00, 51.23, 52.23, 43.79, 41.42, 76.36, 44.24, 193.11
35.00, 51.20, 54.01, 32.43, 29.90, 79.42, 36.05, 202.55
40.00, 51.37, 55.43, 35.10, 32.23, 81.08, 36.19, 212.22
45.00, 51.55, 57.11, 25.67, 22.44, 84.04, 29.38, 212.63
50.00, 51.62, 60.25, 17.36, 13.94, 88.94, 21.91, 232.22
55.00, 51.61, 59.86, 17.53, 14.13, 88.94, 22.13, 256.60
60.00, 51.66, 58.76, 18.32, 14.81, 88.22, 23.27, 248.26
65.00, 51.90, 62.57, 9.63, 5.90, 90.58, 16.57, 257.25
70.00, 51.91, 62.23, 10.05, 6.32, 90.20, 17.12, 273.70
75.00, 51.59, 59.31, 31.44, 27.91, 87.83, 30.37, 284.78
80.00, 51.72, 59.84, 18.53, 14.88, 88.95, 22.93, 284.97
85.00, 51.73, 60.25, 18.00, 14.36, 89.32, 22.30, 297.91
90.00, 51.91, 60.08, 11.22, 7.48, 89.11, 18.83, 317.95
95.00, 51.54, 57.04, 32.55, 29.56, 85.56, 32.47, 332.23
100.00, 51.80, 60.98, 17.36, 13.91, 89.66, 21.52, 361.17
