size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 1.19
0.02, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 1.37
0.03, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 1.68
0.04, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 1.97
0.05, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 2.17
0.06, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 2.54
0.07, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 2.97
0.08, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 3.08
0.09, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 3.86
0.10, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 3.72
0.20, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 7.95
0.30, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 70.24
0.40, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 74.95
0.50, 49.95, 14.87, 30.00, 30.00, 100.00, 19.87, 81.37
0.60, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 215.06
0.70, 49.95, 45.04, 90.00, 90.00, 100.00, 59.99, 223.91
0.80, 49.95, 4.92, 10.00, 10.00, 100.00, 6.59, 233.21
0.90, 49.95, 48.74, 18.61, 19.16, 84.12, 26.00, 430.33
1.00, 49.95, 49.01, 19.36, 19.87, 83.36, 27.22, 446.70
5.00, 49.95, 50.02, 40.17, 40.16, 73.07, 44.02, 1159.28
10.00, 49.95, 50.68, 46.47, 45.83, 71.45, 48.03, 2892.74
15.00, 49.95, 50.56, 43.20, 42.65, 71.28, 46.42, 4833.85
20.00, 49.95, 50.72, 44.74, 44.04, 70.99, 47.36, 6052.93
25.00, 49.95, 50.63, 44.59, 43.97, 70.85, 47.32, 6933.76
30.00, 49.95, 50.47, 47.98, 47.53, 70.93, 48.98, 7678.87
35.00, 49.95, 50.50, 44.84, 44.35, 71.16, 47.29, 8418.33
40.00, 49.95, 50.35, 47.26, 46.92, 70.85, 48.61, 9452.35
45.00, 49.95, 50.36, 45.66, 45.30, 70.99, 47.74, 10604.57
50.00, 49.95, 50.37, 47.45, 47.09, 70.92, 48.68, 11649.23
55.00, 49.95, 50.01, 46.59, 46.58, 71.34, 48.00, 12988.43
60.00, 49.95, 49.92, 47.85, 47.93, 71.35, 48.62, 14357.95
65.00, 49.95, 49.97, 46.40, 46.43, 71.19, 47.96, 15795.57
70.00, 49.95, 49.87, 48.09, 48.21, 71.02, 48.85, 16939.91
75.00, 49.95, 49.87, 47.33, 47.46, 71.04, 48.46, 18161.43
80.00, 49.95, 49.67, 47.20, 47.53, 71.22, 48.28, 19215.02
85.00, 49.95, 49.52, 46.05, 46.53, 71.47, 47.58, 20534.32
90.00, 49.95, 49.49, 46.10, 46.60, 71.47, 47.60, 21698.40
95.00, 49.95, 49.43, 45.70, 46.26, 71.52, 47.36, 23071.08
100.00, 49.95, 49.33, 46.09, 46.76, 71.63, 47.49, 24016.41
