size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 51.90, 51.90, 100.00, 100.00, 100.00, 68.29, 0.79
0.02, 51.26, 51.26, 100.00, 100.00, 100.00, 67.73, 0.89
0.03, 51.26, 51.36, 90.47, 90.17, 94.00, 64.57, 1.08
0.04, 50.71, 50.43, 56.80, 56.08, 79.59, 49.88, 1.45
0.05, 50.59, 50.44, 49.55, 49.12, 74.88, 48.46, 1.71
0.06, 50.57, 49.92, 53.67, 53.42, 82.94, 46.51, 1.91
0.07, 50.57, 50.54, 41.57, 41.07, 76.59, 43.30, 2.30
0.08, 50.57, 50.96, 45.06, 44.34, 77.72, 44.91, 2.41
0.09, 50.57, 50.47, 64.97, 64.75, 85.15, 53.00, 2.62
0.10, 50.57, 50.25, 43.51, 43.27, 72.66, 45.80, 2.97
0.20, 50.57, 49.99, 83.81, 83.91, 86.28, 62.38, 5.28
0.30, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 7.87
0.40, 50.57, 50.38, 97.22, 97.18, 97.33, 66.29, 9.69
0.50, 50.57, 50.49, 98.16, 98.12, 98.21, 66.62, 12.29
0.60, 50.57, 50.57, 99.72, 99.71, 99.71, 67.06, 14.85
0.70, 50.57, 50.56, 99.49, 99.47, 99.47, 67.00, 17.33
0.80, 50.57, 50.58, 99.94, 99.94, 99.94, 67.12, 19.46
0.90, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 22.69
1.00, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 25.11
5.00, 50.57, 50.51, 99.23, 99.21, 99.23, 66.90, 122.16
10.00, 50.57, 50.89, 56.31, 55.47, 71.48, 53.16, 276.06
15.00, 50.57, 50.56, 99.45, 99.44, 99.44, 66.99, 438.40
20.00, 50.57, 50.71, 58.14, 57.45, 71.47, 54.02, 600.16
25.00, 50.57, 50.56, 98.26, 98.20, 98.25, 66.71, 740.63
30.00, 50.57, 51.16, 57.64, 56.50, 72.16, 53.70, 970.20
35.00, 50.57, 50.58, 99.91, 99.91, 99.91, 67.11, 1208.68
40.00, 50.57, 50.95, 55.79, 54.87, 71.24, 52.98, 1507.49
45.00, 50.57, 50.45, 94.76, 94.73, 95.56, 65.63, 1755.83
50.00, 50.57, 51.61, 51.46, 49.86, 69.60, 51.48, 2067.88
55.00, 50.57, 50.57, 97.77, 97.72, 97.81, 66.60, 2355.51
60.00, 50.57, 51.83, 52.14, 50.31, 69.45, 51.93, 2546.35
65.00, 50.57, 50.55, 95.13, 95.00, 95.36, 65.91, 2769.13
70.00, 50.57, 51.98, 53.00, 51.02, 69.40, 52.42, 3041.37
75.00, 50.57, 50.49, 89.60, 89.45, 91.62, 64.13, 3339.49
80.00, 50.57, 51.68, 51.81, 50.13, 69.56, 51.69, 3640.64
85.00, 50.57, 50.52, 87.25, 87.03, 89.67, 63.49, 3831.69
90.00, 50.57, 51.87, 52.93, 51.07, 69.59, 52.30, 4070.90
95.00, 50.57, 50.71, 90.44, 90.08, 92.01, 64.52, 4411.78
100.00, 50.57, 51.71, 52.00, 50.30, 69.53, 51.80, 4662.80
