size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 130.20
0.02, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 130.42
0.03, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 126.03
0.04, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 126.62
0.05, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 128.18
0.06, 50.31, 45.44, 90.00, 90.00, 100.00, 60.35, 130.11
0.07, 50.24, 30.41, 60.00, 60.00, 100.00, 40.33, 130.69
0.08, 50.35, 45.46, 90.00, 90.00, 100.00, 60.37, 132.82
0.09, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 126.87
0.10, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 127.75
0.20, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 132.30
0.30, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 128.07
0.40, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 128.26
0.50, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 130.78
0.60, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 129.35
0.70, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 126.20
0.80, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 127.27
0.90, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 127.98
1.00, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 126.68
5.00, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 166.14
10.00, 50.19, 50.69, 56.47, 56.21, 71.58, 53.22, 246.35
15.00, 50.53, 50.56, 97.93, 97.97, 98.00, 66.64, 301.77
20.00, 49.56, 50.10, 49.11, 49.94, 71.61, 49.43, 389.40
25.00, 50.31, 50.46, 95.73, 96.17, 96.29, 66.03, 441.96
30.00, 49.46, 50.02, 49.35, 50.40, 72.06, 49.41, 515.38
35.00, 49.54, 50.06, 90.38, 92.25, 92.80, 64.37, 554.10
40.00, 49.21, 49.76, 48.92, 50.48, 72.10, 49.18, 622.51
45.00, 49.35, 49.96, 90.04, 92.27, 92.84, 64.21, 678.33
50.00, 49.45, 50.01, 45.53, 46.51, 71.85, 47.51, 744.93
55.00, 49.00, 49.75, 82.16, 84.88, 86.94, 61.86, 789.75
60.00, 49.71, 50.31, 42.61, 43.01, 71.84, 46.03, 855.51
65.00, 48.94, 49.71, 84.23, 87.13, 88.74, 62.42, 899.45
70.00, 48.82, 49.32, 43.96, 46.18, 72.76, 46.37, 948.11
75.00, 48.46, 49.40, 79.52, 83.27, 86.05, 60.81, 993.49
80.00, 48.57, 49.03, 42.53, 45.21, 73.41, 45.35, 1060.79
85.00, 48.22, 49.29, 81.92, 86.21, 88.29, 61.44, 1119.50
90.00, 48.32, 48.76, 42.52, 45.71, 73.71, 45.25, 1173.23
95.00, 47.70, 48.95, 79.64, 84.96, 87.50, 60.55, 1230.64
100.00, 47.60, 47.89, 39.90, 44.45, 75.07, 43.32, 1278.69
