size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 0.32
0.02, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 0.79
0.03, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 0.90
0.04, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 1.05
0.05, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 1.20
0.06, 50.57, 45.44, 90.00, 90.00, 100.00, 60.35, 1.33
0.07, 50.57, 30.41, 60.00, 60.00, 100.00, 40.33, 1.48
0.08, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 1.63
0.09, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 1.82
0.10, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 1.97
0.20, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 3.87
0.30, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 5.97
0.40, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 8.17
0.50, 50.57, 50.57, 99.87, 99.86, 99.86, 67.10, 69.97
0.60, 50.57, 50.57, 99.87, 99.86, 99.86, 67.10, 72.03
0.70, 50.57, 50.57, 99.87, 99.86, 99.86, 67.10, 74.56
0.80, 50.57, 50.57, 99.87, 99.86, 99.86, 67.10, 78.10
0.90, 50.57, 50.57, 99.87, 99.86, 99.86, 67.10, 81.33
1.00, 50.57, 50.57, 99.87, 99.86, 99.86, 67.10, 200.06
5.00, 50.57, 50.57, 99.87, 99.86, 99.86, 67.10, 608.45
10.00, 50.57, 51.11, 58.59, 57.54, 71.52, 54.36, 1561.52
15.00, 50.57, 50.48, 95.55, 95.49, 95.64, 66.00, 3033.27
20.00, 50.57, 50.88, 60.32, 59.45, 72.52, 54.82, 4431.86
25.00, 50.57, 50.14, 79.99, 79.91, 82.54, 61.55, 5550.82
30.00, 50.57, 50.03, 56.21, 56.18, 71.67, 52.75, 6050.12
35.00, 50.57, 49.96, 70.13, 70.18, 76.58, 58.22, 6458.42
40.00, 50.57, 49.68, 53.71, 54.02, 71.50, 51.45, 6715.51
45.00, 50.57, 49.58, 69.03, 69.41, 76.44, 57.55, 7104.41
50.00, 50.57, 49.26, 53.25, 53.98, 71.94, 50.96, 7536.52
55.00, 50.57, 49.60, 67.65, 68.00, 75.70, 57.09, 8065.73
60.00, 50.57, 49.11, 52.72, 53.60, 72.03, 50.62, 8653.84
65.00, 50.57, 49.51, 69.16, 69.57, 76.37, 57.58, 9413.77
70.00, 50.57, 48.85, 52.18, 53.32, 72.00, 50.28, 10034.76
75.00, 50.57, 49.16, 67.56, 68.29, 75.82, 56.80, 10618.11
80.00, 50.57, 48.64, 52.49, 53.84, 72.07, 50.35, 11246.26
85.00, 50.57, 48.95, 66.94, 67.85, 75.62, 56.46, 12099.88
90.00, 50.57, 48.29, 52.09, 53.78, 72.42, 49.93, 13008.91
95.00, 50.57, 48.45, 64.34, 65.73, 74.97, 55.17, 13851.49
100.00, 50.57, 47.60, 51.86, 54.24, 72.92, 49.47, 14367.30
