size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 48.83, 43.88, 90.00, 90.00, 100.00, 58.95, 32.28
0.02, 48.93, 38.93, 80.00, 80.00, 100.00, 52.33, 32.48
0.03, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 32.92
0.04, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 34.71
0.05, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 38.43
0.06, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 37.56
0.07, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 36.19
0.08, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 34.95
0.09, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 35.04
0.10, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 35.47
0.20, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 35.60
0.30, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 34.45
0.40, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 34.44
0.50, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 33.84
0.60, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 35.36
0.70, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 38.61
0.80, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 39.09
0.90, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 36.04
1.00, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 35.64
5.00, 49.96, 49.00, 63.99, 63.56, 75.79, 54.66, 34.13
10.00, 50.04, 48.43, 41.28, 41.78, 73.67, 43.78, 37.16
15.00, 50.07, 48.84, 43.52, 43.63, 71.99, 45.68, 40.80
20.00, 49.96, 48.20, 30.68, 31.69, 76.93, 36.88, 43.40
25.00, 50.56, 49.34, 37.98, 37.34, 73.04, 42.46, 45.11
30.00, 49.35, 47.12, 39.40, 41.37, 78.73, 40.30, 48.19
35.00, 50.49, 49.40, 44.05, 43.29, 71.18, 46.32, 50.36
40.00, 49.96, 48.73, 45.56, 45.85, 71.99, 46.69, 49.90
45.00, 49.72, 48.69, 49.22, 49.78, 72.01, 48.55, 51.23
50.00, 49.35, 47.57, 36.11, 37.94, 74.82, 40.67, 54.97
55.00, 49.48, 48.11, 41.22, 42.48, 73.32, 43.92, 56.89
60.00, 49.02, 47.43, 40.35, 42.74, 73.93, 43.30, 57.44
65.00, 50.03, 48.53, 37.37, 37.87, 73.56, 41.96, 56.15
70.00, 49.55, 48.05, 35.93, 37.22, 75.10, 40.43, 59.61
75.00, 49.44, 48.21, 41.16, 42.51, 73.47, 43.90, 58.72
80.00, 50.14, 48.55, 35.48, 35.92, 74.93, 40.31, 61.77
85.00, 49.58, 48.20, 40.62, 41.88, 73.32, 43.71, 65.04
90.00, 49.27, 47.64, 37.46, 39.39, 74.13, 41.76, 68.57
95.00, 49.73, 48.43, 42.16, 43.05, 72.37, 44.91, 65.70
100.00, 49.14, 46.98, 33.91, 36.22, 76.99, 38.33, 70.94
