size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 48.83, 43.88, 90.00, 90.00, 100.00, 58.95, 76.10
0.02, 48.83, 43.88, 90.00, 90.00, 100.00, 58.95, 75.50
0.03, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 75.94
0.04, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 75.67
0.05, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 74.58
0.06, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 74.28
0.07, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 75.02
0.08, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 75.07
0.09, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 74.73
0.10, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 75.08
0.20, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 74.39
0.30, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 74.47
0.40, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 74.72
0.50, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 75.85
0.60, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 75.96
0.70, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 75.14
0.80, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 76.49
0.90, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 74.97
1.00, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 76.37
5.00, 48.84, 48.85, 96.21, 96.45, 96.80, 64.67, 86.02
10.00, 50.21, 48.67, 34.15, 34.37, 74.89, 39.70, 109.42
15.00, 49.63, 48.63, 51.02, 51.62, 71.95, 49.46, 134.98
20.00, 49.79, 48.19, 34.82, 35.92, 75.11, 39.98, 164.60
25.00, 50.12, 48.56, 36.02, 36.30, 73.93, 41.05, 190.67
30.00, 49.37, 47.61, 35.37, 37.15, 74.90, 40.31, 215.00
35.00, 49.98, 48.70, 41.85, 42.15, 72.06, 44.83, 235.63
40.00, 50.12, 48.71, 37.22, 37.52, 73.23, 42.09, 261.95
45.00, 49.75, 48.35, 39.11, 40.06, 73.09, 43.09, 289.84
50.00, 50.03, 48.45, 32.54, 33.19, 75.39, 38.74, 308.97
55.00, 49.78, 48.47, 38.70, 39.51, 73.31, 42.75, 337.61
60.00, 49.43, 47.78, 33.30, 35.01, 75.69, 38.94, 351.78
65.00, 49.63, 48.16, 34.18, 35.43, 75.15, 39.65, 370.82
70.00, 49.80, 48.35, 33.45, 34.44, 75.25, 39.26, 392.15
75.00, 49.51, 48.01, 35.53, 37.00, 74.76, 40.50, 413.86
80.00, 50.20, 48.71, 29.82, 30.21, 76.60, 36.76, 431.50
85.00, 49.81, 48.30, 34.12, 35.06, 74.93, 39.72, 453.13
90.00, 49.74, 48.00, 30.69, 31.96, 76.53, 37.22, 484.61
95.00, 49.56, 47.79, 32.42, 33.95, 75.87, 38.39, 507.01
100.00, 49.64, 47.70, 28.38, 29.91, 77.79, 35.36, 524.90
