size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 173.45
0.02, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 178.99
0.03, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 176.25
0.04, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 181.32
0.05, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 174.53
0.06, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 179.01
0.07, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 173.23
0.08, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 174.79
0.09, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 181.94
0.1, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 173.90
0.2, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 178.11
0.3, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 173.92
0.4, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 177.73
0.5, 50.77, 0.00, 0.00, 0.00, 100.00, 0.00, 181.08
0.6, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 176.85
0.7, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 181.70
0.8, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 175.88
0.9, 50.77, 0.00, 0.00, 0.00, 100.00, 0.00, 177.98
1, 50.77, 0.00, 0.00, 0.00, 100.00, 0.00, 189.43
5, 50.85, 50.11, 38.70, 37.37, 71.79, 43.62, 282.60
10, 51.62, 50.95, 45.95, 42.89, 69.00, 48.27, 417.50
15, 51.58, 50.97, 42.95, 40.06, 69.71, 46.57, 534.34
20, 50.91, 50.15, 46.03, 44.37, 69.86, 47.95, 631.88
25, 50.87, 50.11, 42.25, 40.78, 70.70, 45.79, 743.33
30, 51.03, 50.31, 41.97, 40.20, 70.59, 45.72, 852.97
35, 51.58, 51.24, 33.80, 31.18, 73.18, 40.68, 950.53
40, 51.21, 50.59, 38.78, 36.73, 71.39, 43.86, 1049.33
45, 51.43, 51.07, 31.78, 29.52, 74.33, 39.13, 1158.27
50, 51.54, 51.26, 31.70, 29.23, 74.29, 39.12, 1282.83
55, 51.51, 51.26, 30.42, 28.04, 75.02, 38.13, 1385.37
60, 51.12, 50.59, 30.47, 28.86, 75.28, 37.99, 1466.09
65, 51.79, 51.71, 31.26, 28.30, 74.34, 38.92, 1572.48
70, 51.13, 50.60, 30.85, 29.20, 75.06, 38.29, 1714.92
75, 51.15, 50.50, 38.24, 36.34, 71.66, 43.48, 1774.30
80, 50.73, 49.94, 36.82, 35.78, 72.61, 42.34, 1919.42
85, 50.88, 50.15, 37.50, 36.15, 72.20, 42.86, 1964.59
90, 50.81, 50.06, 35.30, 34.14, 73.16, 41.35, 2047.41
95, 50.83, 50.08, 35.73, 34.54, 72.96, 41.66, 2169.15
100, 51.28, 50.70, 37.56, 35.41, 71.78, 43.10, 2324.35
