size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 0.48
0.02, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 1.34
0.03, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 1.66
0.04, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 1.88
0.05, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 2.18
0.06, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 2.63
0.07, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 2.80
0.08, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 3.05
0.09, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 3.48
0.1, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 3.59
0.2, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 7.50
0.3, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 69.87
0.4, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 73.61
0.5, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 78.99
0.6, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 206.94
0.7, 49.40, 49.40, 100.00, 100.00, 100.00, 66.08, 261.25
0.8, 49.40, 0.00, 0.00, 0.00, 100.00, 0.00, 226.11
0.9, 49.40, 48.93, 16.68, 17.28, 85.10, 24.84, 428.92
1, 49.40, 48.93, 16.68, 17.28, 85.10, 24.84, 424.54
5, 49.40, 50.75, 41.13, 40.41, 71.40, 45.39, 1037.82
10, 49.40, 49.61, 46.72, 47.11, 71.12, 48.07, 3035.20
15, 49.40, 49.46, 43.19, 43.73, 71.69, 46.06, 4722.99
20, 49.40, 49.12, 45.20, 46.08, 71.60, 47.03, 5837.58
25, 49.40, 49.03, 45.99, 46.95, 71.57, 47.41, 6029.90
30, 49.40, 49.40, 45.91, 46.50, 71.33, 47.54, 6586.41
35, 49.40, 49.23, 48.54, 49.31, 71.27, 48.83, 8406.34
40, 49.40, 48.78, 47.18, 48.40, 71.64, 47.92, 9192.81
45, 49.40, 49.13, 47.26, 48.13, 71.40, 48.13, 9657.92
50, 49.40, 48.69, 45.80, 47.10, 71.81, 47.15, 10428.00
55, 49.40, 48.62, 45.53, 46.89, 71.88, 46.97, 12266.13
60, 49.40, 48.57, 47.42, 48.85, 71.77, 47.94, 12481.05
65, 49.40, 48.99, 44.58, 45.58, 71.76, 46.63, 13729.81
70, 49.40, 48.95, 48.48, 49.54, 71.47, 48.66, 14992.17
75, 49.40, 48.67, 46.64, 47.96, 71.75, 47.58, 19255.97
80, 49.40, 48.78, 47.70, 48.91, 71.61, 48.18, 18451.73
85, 49.40, 48.56, 46.23, 47.66, 71.85, 47.32, 19951.77
90, 49.40, 48.51, 45.04, 46.52, 72.00, 46.66, 21832.48
95, 49.40, 48.58, 47.78, 49.20, 71.75, 48.13, 22994.83
100, 49.40, 48.61, 47.48, 48.86, 71.74, 47.99, 22918.35
