size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 76.70
0.02, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 82.12
0.03, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 97.31
0.04, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 81.45
0.05, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 78.16
0.06, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 77.57
0.07, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 77.61
0.08, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 79.32
0.09, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 90.69
0.1, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 82.57
0.2, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 91.46
0.3, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 79.49
0.4, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 79.14
0.5, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 81.70
0.6, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 94.10
0.7, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 79.57
0.8, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 79.03
0.9, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 78.91
1, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 79.60
5, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 88.74
10, 51.60, 51.86, 48.35, 45.14, 68.59, 50.00, 95.26
15, 50.37, 50.32, 80.23, 79.67, 82.08, 61.80, 96.90
20, 51.60, 54.29, 21.99, 18.63, 80.20, 31.26, 113.67
25, 50.55, 50.38, 91.72, 90.86, 91.24, 64.99, 109.10
30, 50.55, 50.37, 93.46, 92.61, 92.84, 65.42, 120.34
35, 50.19, 50.18, 95.68, 95.57, 95.66, 65.78, 117.34
40, 49.43, 49.73, 78.32, 79.62, 82.52, 60.79, 121.75
45, 49.81, 49.97, 76.71, 77.25, 80.68, 60.47, 122.34
50, 51.95, 54.43, 25.69, 21.63, 77.39, 34.86, 129.19
55, 49.68, 49.90, 91.01, 91.89, 92.33, 64.41, 136.79
60, 50.93, 51.04, 52.23, 50.38, 69.43, 51.58, 136.24
65, 49.07, 49.56, 87.00, 89.07, 90.02, 63.10, 141.67
70, 50.75, 51.15, 39.45, 37.89, 71.43, 44.50, 150.11
75, 49.36, 49.71, 83.17, 84.64, 86.30, 62.18, 145.25
80, 50.21, 50.46, 38.91, 38.42, 72.17, 43.89, 150.67
85, 48.92, 49.47, 87.04, 89.43, 90.36, 63.04, 170.15
90, 49.68, 49.75, 34.86, 35.42, 74.15, 40.95, 157.36
95, 47.49, 48.33, 68.25, 73.40, 79.97, 56.54, 161.94
100, 48.31, 48.18, 40.65, 43.98, 73.87, 44.05, 188.45
