size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 52.34, 52.34, 100.00, 100.00, 100.00, 68.67, 0.98
0.02, 51.74, 51.74, 100.00, 100.00, 100.00, 68.15, 0.80
0.03, 51.74, 51.74, 100.00, 100.00, 100.00, 68.15, 1.08
0.04, 51.74, 51.74, 100.00, 100.00, 100.00, 68.15, 1.20
0.05, 50.31, 51.16, 44.19, 43.05, 70.48, 47.37, 1.67
0.06, 50.31, 51.10, 50.56, 49.45, 69.93, 50.78, 1.87
0.07, 50.31, 49.33, 90.29, 90.52, 91.04, 63.76, 2.11
0.08, 50.31, 51.92, 34.34, 32.63, 73.32, 41.29, 2.40
0.09, 50.31, 49.58, 36.84, 37.23, 73.32, 42.22, 2.63
0.1, 50.31, 50.38, 59.69, 59.33, 71.73, 54.59, 2.87
0.2, 50.31, 49.97, 84.86, 84.87, 86.21, 62.86, 5.14
0.3, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 7.47
0.4, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 9.57
0.5, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 14.77
0.6, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 14.28
0.7, 50.31, 50.33, 98.93, 98.92, 98.92, 66.67, 17.21
0.8, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 19.19
0.9, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 21.60
1, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 24.50
5, 50.31, 50.28, 98.62, 98.60, 98.61, 66.56, 118.55
10, 50.31, 51.81, 51.05, 49.24, 69.43, 51.37, 255.14
15, 50.31, 50.24, 98.75, 98.74, 98.75, 66.55, 395.25
20, 50.31, 50.39, 55.23, 54.85, 70.80, 52.65, 571.03
25, 50.31, 50.41, 98.84, 98.82, 98.83, 66.72, 726.33
30, 50.31, 51.14, 53.99, 52.85, 70.08, 52.47, 964.71
35, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 1126.10
40, 50.31, 50.43, 52.47, 52.04, 70.48, 51.38, 1357.38
45, 50.31, 50.29, 97.91, 97.88, 97.91, 66.40, 1642.94
50, 50.31, 51.82, 53.18, 51.37, 69.50, 52.45, 1951.15
55, 50.31, 50.33, 100.00, 100.00, 100.00, 66.91, 2179.23
60, 50.31, 51.89, 51.94, 50.05, 69.39, 51.86, 2358.51
65, 50.31, 50.23, 98.40, 98.38, 98.40, 66.46, 2600.47
70, 50.31, 51.89, 51.94, 50.05, 69.39, 51.86, 2962.28
75, 50.31, 50.33, 98.80, 98.78, 98.79, 66.64, 3232.11
80, 50.31, 51.74, 51.09, 49.35, 69.48, 51.36, 3391.04
85, 50.31, 50.24, 97.95, 97.93, 97.95, 66.37, 3770.60
90, 50.31, 51.74, 51.09, 49.35, 69.48, 51.36, 3928.36
95, 50.31, 50.24, 97.95, 97.93, 97.95, 66.37, 4185.99
100, 50.31, 51.74, 51.09, 49.35, 69.48, 51.36, 4544.36
