size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 127.13
0.02, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 127.95
0.03, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 124.25
0.04, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 128.00
0.05, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 125.06
0.06, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 125.10
0.07, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 125.47
0.08, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 140.06
0.09, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 126.09
0.1, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 125.03
0.2, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 131.68
0.3, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 125.62
0.4, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 125.83
0.5, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 127.95
0.6, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 128.25
0.7, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 125.79
0.8, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 128.37
0.9, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 132.11
1, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 127.31
5, 50.49, 50.49, 100.00, 100.00, 100.00, 67.06, 165.74
10, 50.40, 50.82, 55.12, 54.41, 70.53, 52.83, 244.06
15, 50.65, 50.58, 97.83, 97.47, 97.49, 66.64, 297.65
20, 49.82, 50.32, 48.29, 48.62, 70.98, 49.24, 386.83
25, 50.65, 50.59, 97.03, 96.65, 96.70, 66.46, 437.43
30, 48.88, 49.36, 48.16, 50.38, 72.29, 48.70, 513.73
35, 50.02, 50.28, 93.22, 94.03, 94.27, 65.27, 547.29
40, 49.10, 49.62, 52.55, 54.41, 72.19, 50.99, 643.72
45, 50.04, 50.29, 92.20, 92.94, 93.27, 65.03, 681.78
50, 50.22, 50.74, 48.47, 47.99, 70.41, 49.53, 746.36
55, 49.19, 49.81, 80.62, 82.86, 85.09, 61.53, 781.87
60, 50.36, 51.02, 42.04, 41.16, 71.09, 46.05, 851.20
65, 49.46, 49.97, 86.96, 88.78, 89.74, 63.43, 883.85
70, 49.17, 49.60, 40.93, 42.42, 72.73, 44.80, 942.76
75, 49.15, 49.77, 76.81, 79.06, 82.39, 60.35, 983.19
80, 48.52, 48.98, 47.05, 49.98, 72.81, 47.95, 1056.96
85, 48.50, 49.35, 76.14, 79.69, 83.19, 59.84, 1121.59
90, 47.83, 48.22, 45.06, 49.34, 73.85, 46.53, 1172.73
95, 48.19, 49.17, 77.12, 81.32, 84.48, 60.00, 1213.48
100, 47.47, 47.90, 46.03, 51.06, 74.30, 46.90, 1339.59
