size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.36
0.02, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 0.99
0.03, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 1.05
0.04, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 1.11
0.05, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 1.27
0.06, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 1.44
0.07, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 1.65
0.08, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 1.70
0.09, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 1.91
0.1, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 2.09
0.2, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 4.66
0.3, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 6.24
0.4, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 8.61
0.5, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 72.11
0.6, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 76.09
0.7, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 76.31
0.8, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 79.64
0.9, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 83.06
1, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 218.01
5, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 733.69
10, 50.31, 51.12, 64.01, 62.97, 72.53, 56.79, 1720.28
15, 50.31, 50.31, 97.24, 97.20, 97.24, 66.27, 3827.71
20, 50.31, 50.19, 58.00, 57.81, 71.46, 53.76, 5179.93
25, 50.31, 49.99, 78.62, 78.63, 81.48, 61.07, 6197.09
30, 50.31, 49.30, 52.12, 52.81, 71.29, 50.62, 6620.20
35, 50.31, 49.70, 69.80, 70.05, 76.29, 58.01, 7156.20
40, 50.31, 49.25, 51.27, 52.02, 71.28, 50.19, 6897.19
45, 50.31, 49.36, 68.46, 69.02, 75.88, 57.31, 7449.77
50, 50.31, 48.80, 51.67, 52.87, 71.63, 50.14, 8247.36
55, 50.31, 49.42, 70.69, 71.17, 76.96, 58.13, 8561.83
60, 50.31, 48.58, 46.59, 48.01, 71.81, 47.52, 8970.42
65, 50.31, 49.38, 71.14, 71.64, 77.24, 58.25, 9556.82
70, 50.31, 48.92, 50.56, 51.63, 71.49, 49.68, 10614.95
75, 50.31, 48.80, 68.60, 69.63, 76.38, 56.98, 10716.13
80, 50.31, 47.87, 50.65, 52.77, 72.25, 49.17, 11866.88
85, 50.31, 48.45, 64.81, 66.21, 74.98, 55.40, 12175.59
90, 50.31, 48.56, 48.86, 50.30, 71.73, 48.66, 14577.88
95, 50.31, 48.70, 65.12, 66.29, 74.91, 55.68, 13544.59
100, 50.31, 47.42, 46.33, 48.90, 72.61, 46.82, 15112.51
