size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 53.21, 53.21, 100.00, 100.00, 100.00, 69.41, 0.39
0.02, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.44
0.03, 50.33, 50.33, 100.00, 100.00, 100.00, 66.92, 0.60
0.04, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.65
0.05, 49.36, 49.36, 100.00, 100.00, 100.00, 66.06, 0.73
0.06, 49.36, 49.36, 100.00, 100.00, 100.00, 66.06, 0.80
0.07, 49.36, 49.36, 100.00, 100.00, 100.00, 66.06, 0.90
0.08, 49.36, 49.36, 100.00, 100.00, 100.00, 66.06, 1.06
0.09, 49.36, 49.36, 100.00, 100.00, 100.00, 66.06, 1.12
0.1, 49.36, 49.36, 100.00, 100.00, 100.00, 66.06, 1.21
0.2, 49.21, 50.03, 87.06, 87.05, 88.01, 63.50, 2.74
0.3, 49.21, 49.22, 92.12, 92.34, 92.68, 64.11, 3.31
0.4, 49.21, 49.43, 93.48, 93.62, 93.85, 64.62, 4.30
0.5, 49.21, 48.89, 81.42, 82.08, 84.16, 61.05, 5.36
0.6, 49.21, 48.49, 51.65, 53.16, 71.85, 49.97, 6.47
0.7, 49.21, 48.99, 87.45, 87.89, 88.78, 62.76, 7.34
0.8, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 8.37
0.9, 49.21, 49.19, 85.41, 85.81, 87.04, 62.38, 9.29
1, 49.21, 49.06, 68.87, 69.67, 76.31, 57.26, 10.91
5, 49.21, 49.37, 94.55, 94.68, 94.84, 64.82, 52.32
10, 49.21, 48.03, 33.17, 34.94, 75.41, 39.19, 109.39
15, 49.21, 50.31, 63.52, 63.24, 73.00, 56.10, 160.93
20, 49.21, 48.59, 41.93, 43.30, 72.44, 44.96, 222.28
25, 49.21, 48.82, 30.25, 31.26, 76.43, 37.31, 279.72
30, 49.21, 45.15, 14.49, 17.08, 87.19, 21.91, 346.08
35, 49.21, 49.73, 53.02, 53.29, 71.04, 51.27, 436.22
40, 49.21, 0.00, 0.00, 0.00, 100.00, 0.00, 527.03
45, 49.21, 51.49, 30.25, 29.01, 75.54, 38.07, 547.87
50, 49.21, 49.73, 53.02, 53.29, 71.04, 51.27, 662.15
55, 49.21, 51.56, 37.06, 35.62, 72.32, 43.08, 792.84
60, 49.21, 49.73, 53.02, 53.29, 71.04, 51.27, 859.40
65, 49.21, 51.55, 38.72, 37.25, 71.72, 44.17, 908.15
70, 49.21, 51.55, 38.72, 37.25, 71.72, 44.17, 1013.58
75, 49.21, 49.73, 53.02, 53.29, 71.04, 51.27, 1113.93
80, 49.21, 49.73, 53.02, 53.29, 71.04, 51.27, 1198.70
85, 49.21, 49.56, 49.42, 49.86, 71.02, 49.44, 1422.07
90, 49.21, 51.56, 36.96, 35.52, 72.36, 43.01, 1429.43
95, 49.21, 43.28, 5.64, 7.27, 94.64, 9.96, 1588.23
100, 49.21, 52.79, 13.81, 12.54, 87.09, 21.86, 1638.73
