size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 75.07
0.02, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 72.11
0.03, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 74.37
0.04, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 74.41
0.05, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 72.39
0.06, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 73.51
0.07, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 72.82
0.08, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 73.69
0.09, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 73.90
0.1, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 74.29
0.2, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 74.46
0.3, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 74.89
0.4, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 74.81
0.5, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 73.33
0.6, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 72.34
0.7, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 72.99
0.8, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 73.49
0.9, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 76.16
1, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 75.36
5, 49.50, 49.48, 96.45, 96.52, 96.58, 65.36, 84.57
10, 50.07, 49.16, 25.36, 25.71, 78.94, 33.42, 111.58
15, 49.12, 48.48, 44.57, 46.42, 72.30, 46.40, 134.43
20, 48.83, 47.41, 30.74, 33.43, 76.91, 37.25, 157.14
25, 49.36, 48.25, 31.80, 33.43, 75.95, 38.28, 184.75
30, 48.26, 45.98, 25.84, 29.76, 79.91, 33.04, 212.52
35, 49.36, 48.39, 34.68, 36.25, 74.71, 40.35, 236.42
40, 49.17, 48.08, 33.62, 35.59, 75.32, 39.52, 255.92
45, 48.83, 47.70, 34.87, 37.48, 75.14, 40.24, 277.69
50, 48.98, 47.44, 28.43, 30.89, 77.95, 35.51, 307.48
55, 48.74, 47.59, 35.16, 37.95, 75.13, 40.39, 324.03
60, 49.64, 48.35, 25.36, 26.55, 79.22, 33.23, 342.86
65, 49.45, 48.10, 26.71, 28.25, 78.55, 34.30, 371.83
70, 50.26, 49.54, 25.84, 25.80, 78.52, 33.92, 391.44
75, 49.60, 48.34, 26.51, 27.78, 78.56, 34.20, 407.74
80, 49.60, 48.35, 26.80, 28.06, 78.39, 34.44, 424.80
85, 49.83, 48.78, 26.90, 27.68, 78.17, 34.63, 443.34
90, 50.50, 50.00, 27.67, 27.12, 77.25, 35.58, 479.58
95, 48.88, 47.20, 27.57, 30.23, 78.48, 34.76, 493.30
100, 49.41, 47.78, 23.82, 25.52, 80.34, 31.75, 517.98
