size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.13
0.02, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.32
0.03, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.49
0.04, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.44
0.05, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.65
0.06, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.67
0.07, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.59
0.08, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.65
0.09, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.75
0.1, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 0.77
0.2, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 1.63
0.3, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 2.00
0.4, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 3.53
0.5, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 3.57
0.6, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 4.78
0.7, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 5.91
0.8, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 6.60
0.9, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 7.50
1, 49.03, 49.03, 100.00, 100.00, 100.00, 65.76, 8.79
5, 49.03, 49.52, 64.42, 64.86, 73.98, 55.94, 380.44
10, 49.03, 49.54, 36.45, 36.88, 73.47, 41.95, 652.11
15, 49.03, 50.84, 67.41, 66.67, 74.21, 57.91, 957.77
20, 49.03, 50.33, 51.11, 50.78, 70.49, 50.67, 1455.85
25, 49.03, 49.32, 38.38, 39.03, 72.94, 43.12, 2028.01
30, 49.03, 49.45, 38.86, 39.39, 72.73, 43.47, 2334.55
35, 49.03, 49.34, 39.63, 40.27, 72.56, 43.91, 2709.78
40, 49.03, 49.24, 40.69, 41.43, 72.34, 44.51, 3220.80
45, 49.03, 49.65, 40.69, 41.04, 72.12, 44.68, 3696.28
50, 49.03, 47.24, 34.72, 37.26, 75.17, 39.97, 3808.44
55, 49.03, 48.47, 33.56, 34.94, 75.07, 39.61, 3928.46
60, 49.03, 46.82, 34.81, 37.75, 75.33, 39.88, 4705.74
65, 49.03, 46.35, 36.74, 40.20, 74.95, 40.94, 4100.68
70, 49.03, 46.68, 32.50, 35.48, 76.26, 38.27, 4047.72
75, 49.03, 47.58, 36.93, 39.22, 74.27, 41.54, 4101.48
80, 49.03, 47.02, 32.69, 35.37, 76.04, 38.52, 4555.61
85, 49.03, 46.27, 36.45, 39.98, 75.08, 40.73, 4757.74
90, 49.03, 46.14, 35.78, 39.40, 75.35, 40.25, 5065.95
95, 49.03, 46.49, 36.45, 39.76, 74.96, 40.82, 5177.74
100, 49.03, 46.61, 31.15, 34.13, 76.85, 37.29, 5238.56
