size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.22, 50.41, 91.67, 92.14, 92.52, 65.00, 199.69
0.02, 50.43, 50.53, 91.11, 91.13, 91.57, 64.96, 165.79
0.03, 50.43, 50.53, 91.11, 91.13, 91.57, 64.96, 183.16
0.04, 50.22, 50.41, 91.67, 92.14, 92.52, 65.00, 289.43
0.05, 50.22, 50.41, 91.67, 92.14, 92.52, 65.00, 302.20
0.06, 50.22, 50.41, 91.67, 92.14, 92.52, 65.00, 279.21
0.07, 50.54, 50.54, 100.00, 100.00, 100.00, 67.10, 160.02
0.08, 50.54, 50.54, 100.00, 100.00, 100.00, 67.10, 164.59
0.09, 50.54, 50.54, 100.00, 100.00, 100.00, 67.10, 173.97
0.1, 50.54, 50.54, 100.00, 100.00, 100.00, 67.10, 238.48
0.2, 50.54, 50.54, 100.00, 100.00, 100.00, 67.10, 274.11
0.3, 50.82, 50.76, 89.59, 88.79, 89.40, 64.76, 282.18
0.4, 49.16, 49.78, 67.06, 69.12, 76.57, 57.09, 230.78
0.5, 49.42, 49.96, 44.61, 45.66, 71.79, 47.08, 179.07
0.6, 49.16, 49.78, 67.06, 69.12, 76.57, 57.09, 176.11
0.7, 49.16, 49.78, 67.06, 69.12, 76.57, 57.09, 229.68
0.8, 49.16, 49.79, 69.57, 71.69, 77.88, 57.99, 300.57
0.9, 49.46, 0.00, 0.00, 0.00, 100.00, 0.00, 283.54
1, 49.46, 0.00, 0.00, 0.00, 100.00, 0.00, 229.34
5, 49.99, 51.58, 16.98, 16.28, 84.60, 25.51, 169.79
10, 50.35, 50.70, 63.75, 63.34, 72.98, 56.43, 227.24
15, 50.19, 50.57, 64.26, 64.18, 73.47, 56.55, 247.50
20, 50.88, 50.80, 89.16, 88.24, 88.91, 64.68, 327.02
25, 50.96, 57.12, 11.88, 9.11, 88.59, 19.64, 321.88
30, 50.35, 50.70, 63.75, 63.34, 72.98, 56.43, 231.25
35, 50.49, 55.57, 10.12, 8.27, 90.26, 17.09, 237.95
40, 50.43, 55.01, 10.54, 8.81, 89.89, 17.67, 189.34
45, 50.43, 55.01, 10.54, 8.81, 89.89, 17.67, 336.57
50, 50.43, 55.01, 10.54, 8.81, 89.89, 17.67, 359.52
55, 50.43, 55.01, 10.54, 8.81, 89.89, 17.67, 285.26
60, 51.17, 57.77, 12.60, 9.41, 87.91, 20.66, 209.40
65, 51.17, 57.77, 12.60, 9.41, 87.91, 20.66, 248.83
70, 51.05, 58.63, 10.70, 7.72, 89.63, 18.08, 240.38
75, 51.17, 57.77, 12.60, 9.41, 87.91, 20.66, 279.46
80, 50.89, 57.20, 11.24, 8.59, 89.18, 18.76, 227.87
85, 50.89, 57.20, 11.24, 8.59, 89.18, 18.76, 240.58
90, 50.89, 57.20, 11.24, 8.59, 89.18, 18.76, 238.94
95, 50.89, 57.20, 11.24, 8.59, 89.18, 18.76, 224.82
100, 50.89, 57.20, 11.24, 8.59, 89.18, 18.76, 223.14
