size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 190.09
0.02, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 180.10
0.03, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 170.56
0.04, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 173.81
0.05, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 199.49
0.06, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 191.36
0.07, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 176.55
0.08, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 168.62
0.09, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 170.87
0.1, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 189.06
0.2, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 168.98
0.3, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 169.26
0.4, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 169.32
0.5, 50.27, 50.11, 52.98, 52.43, 70.43, 51.46, 190.95
0.6, 49.85, 49.85, 100.00, 100.00, 100.00, 66.49, 187.30
0.7, 50.03, 49.92, 71.13, 70.96, 76.60, 58.62, 172.16
0.8, 49.97, 49.84, 54.45, 54.47, 71.01, 51.99, 172.80
0.9, 50.12, 49.95, 27.82, 27.71, 77.31, 35.69, 173.71
1, 50.33, 50.47, 20.05, 19.56, 82.31, 28.66, 179.01
5, 49.64, 49.35, 38.32, 39.10, 73.03, 43.09, 192.38
10, 49.99, 49.87, 59.71, 59.68, 72.01, 54.29, 200.26
15, 50.43, 50.28, 51.13, 50.28, 70.11, 50.65, 209.60
20, 50.29, 50.14, 52.36, 51.77, 70.35, 51.18, 222.50
25, 50.20, 50.08, 33.94, 33.63, 74.13, 40.41, 234.64
30, 49.83, 49.68, 49.64, 49.99, 70.96, 49.61, 242.32
35, 49.95, 49.79, 47.66, 47.78, 70.87, 48.65, 257.71
40, 49.88, 49.74, 50.44, 50.68, 70.88, 50.04, 276.24
45, 49.84, 49.70, 50.41, 50.73, 70.94, 50.00, 296.10
50, 49.75, 49.62, 51.75, 52.24, 71.12, 50.61, 304.70
55, 49.72, 49.57, 49.48, 50.04, 71.11, 49.48, 314.04
60, 49.69, 49.57, 51.75, 52.35, 71.19, 50.58, 328.00
65, 49.81, 49.68, 51.30, 51.66, 71.00, 50.42, 351.13
70, 49.79, 49.67, 54.10, 54.50, 71.25, 51.74, 343.93
75, 49.79, 49.66, 52.98, 53.38, 71.14, 51.22, 366.39
80, 49.81, 49.70, 55.11, 55.46, 71.34, 52.22, 364.02
85, 49.99, 49.85, 51.56, 51.58, 70.76, 50.64, 393.24
90, 49.73, 49.62, 53.35, 53.86, 71.26, 51.37, 390.28
95, 50.03, 49.89, 52.60, 52.54, 70.76, 51.16, 400.03
100, 49.60, 49.47, 50.63, 51.42, 71.29, 49.99, 445.90
