size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 0.73
0.02, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 0.51
0.03, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 0.71
0.04, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 0.97
0.05, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 1.13
0.06, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 1.44
0.07, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 12.28
0.08, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 11.83
0.09, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 11.82
0.1, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 12.00
0.2, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 37.42
0.3, 50.02, 50.02, 100.00, 100.00, 100.00, 66.64, 118.83
0.4, 50.02, 50.59, 87.50, 87.24, 88.13, 64.07, 129.71
0.5, 50.02, 50.48, 76.48, 76.14, 79.69, 60.77, 152.30
0.6, 50.02, 50.15, 77.18, 77.07, 80.38, 60.75, 173.66
0.7, 50.02, 50.02, 78.79, 78.78, 81.58, 61.14, 187.51
0.8, 50.02, 50.13, 65.35, 65.23, 73.86, 56.69, 195.58
0.9, 50.02, 50.28, 64.76, 64.51, 73.50, 56.56, 196.78
1, 50.02, 50.55, 60.36, 59.84, 71.77, 54.97, 200.31
5, 50.02, 50.51, 54.89, 54.39, 70.66, 52.56, 434.48
10, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 620.41
15, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 620.80
20, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 620.79
25, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 633.52
30, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 621.04
35, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 623.43
40, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 621.55
45, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 619.73
50, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 618.32
55, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 620.41
60, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 620.35
65, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 647.40
70, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 659.90
75, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 728.31
80, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 751.20
85, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 804.67
90, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 686.39
95, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 661.89
100, 50.02, 49.92, 64.25, 64.33, 73.59, 56.14, 661.71
