size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 101.84
0.02, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 114.68
0.03, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 104.03
0.04, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 130.82
0.05, 50.22, 50.28, 95.01, 95.13, 95.26, 65.72, 136.85
0.06, 50.22, 50.28, 95.01, 95.13, 95.26, 65.72, 106.22
0.07, 50.69, 50.57, 89.04, 88.14, 88.82, 64.46, 106.86
0.08, 50.58, 51.58, 29.00, 27.56, 76.16, 37.08, 100.89
0.09, 50.58, 50.49, 92.03, 91.38, 91.73, 65.16, 153.90
0.1, 50.69, 50.54, 93.10, 92.24, 92.50, 65.47, 176.06
0.2, 48.57, 49.11, 61.11, 64.14, 75.01, 54.41, 173.48
0.3, 48.95, 49.59, 88.82, 91.43, 92.11, 63.60, 136.30
0.4, 48.95, 49.59, 88.82, 91.43, 92.11, 63.60, 113.02
0.5, 48.45, 49.32, 89.27, 92.87, 93.49, 63.49, 121.51
0.6, 48.45, 49.32, 89.27, 92.87, 93.49, 63.49, 117.38
0.7, 48.45, 49.32, 89.27, 92.87, 93.49, 63.49, 145.10
0.8, 48.45, 49.32, 89.27, 92.87, 93.49, 63.49, 106.65
0.9, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 145.68
1, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 108.39
5, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 109.15
10, 51.39, 51.58, 55.28, 52.55, 69.00, 53.31, 107.50
15, 50.31, 50.31, 100.00, 100.00, 100.00, 66.90, 116.74
20, 49.82, 50.08, 83.74, 84.53, 86.08, 62.63, 127.64
25, 49.82, 50.08, 85.70, 86.51, 87.69, 63.17, 105.08
30, 51.48, 53.01, 31.36, 28.15, 74.19, 39.36, 125.54
35, 50.11, 50.25, 84.68, 84.89, 86.26, 63.03, 120.35
40, 51.05, 51.29, 54.16, 52.10, 69.39, 52.64, 115.76
45, 49.96, 50.15, 86.82, 87.37, 88.36, 63.53, 118.01
50, 51.66, 51.78, 57.10, 53.86, 68.85, 54.26, 128.69
55, 50.13, 50.29, 76.93, 77.00, 80.38, 60.77, 163.13
60, 51.14, 51.90, 39.60, 37.17, 70.92, 44.87, 185.75
65, 49.96, 50.17, 79.91, 80.38, 82.85, 61.59, 125.06
70, 50.65, 50.90, 54.39, 53.13, 70.03, 52.53, 167.90
75, 49.75, 50.04, 74.88, 75.69, 79.75, 59.94, 202.34
80, 50.65, 50.90, 54.39, 53.13, 70.03, 52.53, 221.00
85, 49.96, 50.21, 62.98, 63.24, 73.28, 55.83, 177.66
90, 51.14, 51.43, 52.12, 49.84, 69.12, 51.72, 232.26
95, 50.02, 50.20, 81.96, 82.32, 84.27, 62.22, 138.18
100, 50.18, 50.44, 55.86, 55.57, 70.97, 52.96, 138.98
