size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 106.61
0.02, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 112.53
0.03, 50.41, 50.58, 96.13, 96.61, 96.68, 66.24, 101.70
0.04, 50.37, 50.56, 95.73, 96.29, 96.38, 66.12, 114.77
0.05, 50.55, 50.69, 90.15, 90.18, 90.72, 64.85, 107.43
0.06, 50.75, 50.78, 93.14, 92.85, 93.10, 65.68, 104.29
0.07, 50.64, 50.76, 87.59, 87.38, 88.25, 64.23, 105.06
0.08, 50.70, 50.76, 92.04, 91.81, 92.15, 65.39, 116.49
0.09, 49.74, 50.25, 87.07, 88.64, 89.58, 63.68, 105.40
0.1, 50.21, 50.54, 84.47, 85.02, 86.43, 63.19, 105.12
0.2, 49.50, 50.12, 85.97, 88.01, 89.12, 63.27, 104.68
0.3, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 103.74
0.4, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 103.87
0.5, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 104.15
0.6, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 104.02
0.7, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 107.33
0.8, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 106.83
0.9, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 108.32
1, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 117.35
5, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 127.88
10, 48.94, 49.57, 40.96, 42.85, 72.95, 44.81, 134.89
15, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 131.68
20, 48.74, 49.37, 43.20, 45.57, 72.82, 46.03, 147.51
25, 50.70, 50.70, 100.00, 100.00, 100.00, 67.24, 185.42
30, 50.06, 51.01, 37.62, 37.15, 72.61, 43.25, 168.53
35, 50.70, 50.70, 99.96, 99.95, 99.95, 67.23, 162.13
40, 49.14, 49.83, 43.91, 45.48, 72.21, 46.63, 189.75
45, 50.55, 50.64, 98.11, 98.37, 98.39, 66.75, 173.73
50, 49.63, 50.40, 41.22, 41.72, 72.08, 45.30, 206.27
55, 50.39, 50.58, 94.63, 95.11, 95.26, 65.88, 221.99
60, 49.59, 50.37, 39.11, 39.64, 72.65, 43.98, 222.51
65, 50.37, 50.60, 88.61, 88.96, 89.69, 64.37, 215.55
70, 49.05, 49.69, 38.32, 39.91, 73.47, 43.22, 230.86
75, 49.79, 50.28, 85.66, 87.10, 88.28, 63.32, 239.90
80, 49.57, 50.30, 44.17, 44.89, 71.64, 46.99, 258.69
85, 49.90, 50.35, 85.70, 86.92, 88.09, 63.39, 271.04
90, 49.16, 49.82, 37.53, 38.87, 73.58, 42.76, 302.41
95, 49.90, 50.36, 83.63, 84.80, 86.36, 62.82, 295.77
100, 49.07, 49.74, 41.75, 43.39, 72.64, 45.35, 290.80
