size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 51.31, 51.31, 100.00, 100.00, 100.00, 67.78, 0.30
0.02, 51.31, 51.31, 100.00, 100.00, 100.00, 67.78, 1.65
0.03, 51.31, 51.31, 100.00, 100.00, 100.00, 67.78, 1.63
0.04, 51.31, 51.31, 100.00, 100.00, 100.00, 67.78, 1.69
0.05, 51.31, 50.99, 56.83, 55.85, 70.59, 53.70, 6.12
0.06, 51.31, 50.99, 56.83, 55.85, 70.59, 53.70, 5.27
0.07, 51.31, 51.47, 69.70, 68.44, 74.85, 59.17, 8.83
0.08, 51.31, 51.47, 69.70, 68.44, 74.85, 59.17, 10.14
0.09, 51.31, 51.47, 69.70, 68.44, 74.85, 59.17, 10.11
0.1, 51.31, 51.47, 69.70, 68.44, 74.85, 59.17, 10.20
0.2, 51.31, 51.50, 89.86, 89.30, 89.87, 65.43, 17.02
0.3, 51.31, 51.05, 96.66, 96.52, 96.58, 66.77, 21.91
0.4, 51.31, 51.05, 96.66, 96.52, 96.58, 66.77, 26.25
0.5, 51.31, 51.05, 96.66, 96.52, 96.58, 66.77, 33.32
0.6, 51.31, 51.05, 96.66, 96.52, 96.58, 66.77, 39.46
0.7, 51.31, 51.13, 96.49, 96.33, 96.40, 66.79, 51.16
0.8, 51.31, 51.13, 96.49, 96.33, 96.40, 66.79, 67.79
0.9, 51.31, 51.13, 96.49, 96.33, 96.40, 66.79, 71.05
1, 51.31, 51.13, 96.49, 96.33, 96.40, 66.79, 88.63
5, 51.31, 51.41, 99.00, 98.95, 98.95, 67.63, 924.36
10, 51.31, 51.49, 51.02, 49.53, 69.66, 51.20, 994.53
15, 51.31, 51.36, 98.22, 98.13, 98.14, 67.41, 1080.24
20, 51.31, 51.33, 50.06, 48.73, 69.77, 50.64, 1145.81
25, 51.31, 51.29, 97.62, 97.49, 97.52, 67.20, 1234.43
30, 51.31, 51.26, 53.06, 51.80, 69.91, 52.09, 1303.34
35, 51.31, 51.29, 96.84, 96.67, 96.73, 67.01, 1389.30
40, 51.31, 51.38, 54.23, 52.86, 69.92, 52.71, 1443.21
45, 51.31, 51.28, 97.57, 97.45, 97.48, 67.18, 1504.96
50, 51.31, 51.36, 54.05, 52.70, 69.92, 52.62, 1582.09
55, 51.31, 51.32, 98.35, 98.26, 98.28, 67.40, 1615.47
60, 51.31, 51.32, 54.05, 52.74, 69.95, 52.60, 1689.79
65, 51.31, 51.25, 97.57, 97.45, 97.48, 67.16, 1734.62
70, 51.31, 51.21, 51.32, 50.11, 69.86, 51.22, 1790.83
75, 51.31, 51.30, 98.22, 98.13, 98.15, 67.36, 1870.53
80, 51.31, 51.30, 52.32, 51.02, 69.84, 51.75, 1908.32
85, 51.31, 51.30, 98.27, 98.18, 98.19, 67.36, 1972.48
90, 51.31, 51.40, 54.88, 53.49, 69.98, 53.03, 2025.30
95, 51.31, 51.30, 98.27, 98.18, 98.19, 67.36, 2087.80
100, 51.31, 51.25, 51.54, 50.29, 69.84, 51.34, 2155.08
