size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 39.20
0.02, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 38.71
0.03, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 41.92
0.04, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 44.02
0.05, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 39.36
0.06, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 39.05
0.07, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 38.66
0.08, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 38.70
0.09, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 38.96
0.1, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 38.53
0.2, 48.81, 48.32, 88.16, 87.87, 88.67, 62.38, 44.90
0.3, 49.84, 48.61, 69.51, 68.51, 74.98, 57.16, 40.40
0.4, 49.84, 48.61, 69.51, 68.51, 74.98, 57.16, 44.57
0.5, 50.77, 48.88, 44.66, 43.53, 70.41, 46.63, 39.19
0.6, 50.73, 49.25, 70.58, 67.78, 73.89, 57.97, 39.28
0.7, 48.71, 47.93, 73.01, 73.94, 78.71, 57.82, 39.48
0.8, 50.73, 49.12, 59.71, 57.65, 70.33, 53.85, 38.78
0.9, 50.73, 48.94, 49.13, 47.78, 69.79, 48.98, 38.08
1, 50.73, 48.94, 49.13, 47.78, 69.79, 48.98, 39.05
5, 49.46, 48.19, 63.20, 63.35, 73.26, 54.63, 39.62
10, 50.73, 49.05, 55.05, 53.30, 69.73, 51.83, 40.48
15, 51.29, 49.02, 24.37, 23.62, 79.23, 32.51, 40.13
20, 49.65, 47.37, 39.32, 40.72, 73.08, 42.92, 45.99
25, 50.12, 48.84, 71.36, 69.68, 75.34, 57.94, 42.38
30, 50.63, 47.03, 18.45, 19.37, 83.82, 26.46, 42.81
35, 50.49, 48.62, 46.21, 45.52, 70.46, 47.34, 42.51
40, 50.91, 48.82, 36.02, 35.20, 73.03, 41.40, 49.76
45, 51.76, 50.00, 31.36, 29.23, 74.61, 38.50, 45.93
50, 51.76, 50.00, 31.36, 29.23, 74.61, 38.50, 45.62
55, 52.27, 50.66, 41.17, 37.38, 69.70, 45.37, 57.52
60, 51.90, 50.17, 43.79, 40.54, 69.31, 46.71, 58.99
65, 51.90, 50.17, 43.79, 40.54, 69.31, 46.71, 51.48
70, 51.90, 50.17, 43.79, 40.54, 69.31, 46.71, 52.02
75, 51.90, 50.17, 43.79, 40.54, 69.31, 46.71, 51.02
80, 50.73, 48.44, 33.11, 32.85, 74.52, 39.28, 53.47
85, 51.90, 50.17, 43.79, 40.54, 69.31, 46.71, 52.17
90, 50.30, 48.28, 42.23, 42.17, 71.52, 45.00, 56.18
95, 52.04, 50.40, 36.89, 33.85, 71.61, 42.55, 64.92
100, 51.19, 49.09, 31.26, 30.23, 75.09, 38.15, 66.24
