size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 43.98
0.02, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 43.76
0.03, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 43.23
0.04, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 45.43
0.05, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 46.83
0.06, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 44.30
0.07, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 44.45
0.08, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 43.84
0.09, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 43.84
0.1, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 43.60
0.2, 49.31, 49.26, 100.00, 99.81, 99.81, 65.96, 44.23
0.3, 49.11, 49.16, 99.61, 99.81, 99.81, 65.79, 44.06
0.4, 49.35, 49.26, 96.50, 96.32, 96.39, 65.18, 44.67
0.5, 50.84, 50.03, 77.72, 75.21, 78.44, 60.83, 44.62
0.6, 49.31, 49.04, 77.33, 77.85, 81.08, 59.98, 45.16
0.7, 49.40, 49.28, 96.40, 96.14, 96.20, 65.17, 53.40
0.8, 49.88, 49.48, 88.62, 87.65, 88.39, 63.46, 46.22
0.9, 49.11, 48.99, 82.68, 83.41, 85.19, 61.48, 44.19
1, 49.31, 49.16, 87.94, 88.12, 88.95, 63.02, 44.74
5, 50.22, 49.65, 81.81, 80.40, 82.43, 61.75, 49.10
10, 49.55, 48.26, 35.12, 36.48, 74.43, 40.60, 51.37
15, 49.50, 48.77, 51.95, 52.87, 71.45, 50.26, 49.68
20, 50.12, 48.78, 27.33, 27.80, 77.80, 34.99, 52.31
25, 49.69, 47.55, 21.69, 23.19, 81.67, 29.75, 66.29
30, 50.26, 48.63, 18.97, 19.42, 83.32, 27.25, 58.44
35, 49.55, 48.01, 30.54, 32.05, 76.49, 37.29, 55.95
40, 49.59, 47.17, 20.23, 21.96, 82.73, 28.28, 57.57
45, 50.69, 49.87, 37.16, 36.19, 72.52, 42.54, 58.09
50, 50.74, 49.91, 28.40, 27.62, 76.74, 36.16, 59.20
55, 50.93, 50.33, 21.98, 21.02, 80.80, 30.56, 60.95
60, 50.65, 49.74, 27.92, 27.33, 77.09, 35.72, 62.41
65, 49.88, 48.36, 27.24, 28.18, 78.03, 34.80, 64.13
70, 50.50, 49.47, 27.43, 27.14, 77.48, 35.25, 64.98
75, 49.98, 48.67, 30.16, 30.82, 76.34, 37.19, 65.26
80, 50.55, 49.65, 34.63, 34.02, 73.69, 40.75, 72.42
85, 50.41, 49.52, 40.37, 39.87, 71.73, 44.43, 68.24
90, 50.36, 49.42, 37.55, 37.23, 72.71, 42.63, 70.88
95, 49.78, 48.65, 36.67, 37.51, 73.60, 41.77, 108.23
100, 50.45, 49.39, 27.63, 27.43, 77.40, 35.39, 120.74
