size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 0.19
0.02, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 0.21
0.03, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 0.29
0.04, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 0.33
0.05, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 3.25
0.06, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 1.88
0.07, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 1.98
0.08, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 1.98
0.09, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 2.63
0.1, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 6.02
0.2, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 22.23
0.3, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 21.23
0.4, 49.21, 49.21, 100.00, 100.00, 100.00, 65.92, 24.26
0.5, 49.21, 49.00, 90.76, 91.09, 91.56, 63.60, 36.38
0.6, 49.21, 49.00, 90.76, 91.09, 91.56, 63.60, 39.83
0.7, 49.21, 49.08, 85.51, 85.96, 87.17, 62.32, 43.87
0.8, 49.21, 49.08, 85.51, 85.96, 87.17, 62.32, 43.92
0.9, 49.21, 49.08, 85.51, 85.96, 87.17, 62.32, 43.19
1, 49.21, 49.08, 85.51, 85.96, 87.17, 62.32, 61.28
5, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 73.51
10, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 71.86
15, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 73.83
20, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 83.52
25, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 87.47
30, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 77.45
35, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 74.23
40, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 76.71
45, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 77.88
50, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 74.54
55, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 73.91
60, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 74.27
65, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 72.25
70, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 72.23
75, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 74.94
80, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 73.77
85, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 72.51
90, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 73.09
95, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 74.60
100, 49.21, 48.73, 78.60, 79.44, 82.27, 60.12, 72.10
