data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 28.50
0.02, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 25.67
0.03, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 29.39
0.04, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 26.63
0.05, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 25.95
0.06, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 27.55
0.07, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 27.11
0.08, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 26.89
0.09, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 27.83
0.1, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 30.38
0.2, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 26.73
0.3, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 45.39
0.4, 49.80, 50.16, 63.98, 64.62, 73.98, 56.18, 0, 54.22
0.5, 49.52, 49.85, 24.97, 25.54, 79.25, 33.23, 0, 83.94
0.6, 50.31, 50.55, 64.53, 64.15, 73.31, 56.64, 0, 92.59
0.7, 48.83, 49.41, 63.37, 65.95, 75.44, 55.48, 0, 118.46
0.8, 48.42, 48.92, 52.72, 55.95, 73.25, 50.70, 0, 161.65
0.9, 48.17, 47.55, 27.40, 30.72, 78.83, 34.72, 0, 180.25
1, 50.03, 50.87, 25.18, 24.72, 78.80, 33.64, 0, 231.30
5, 51.65, 52.52, 42.58, 39.13, 69.48, 46.98, 0, 1321.59
10, 51.22, 53.42, 25.23, 22.36, 78.04, 34.23, 0, 2673.86
15, 51.32, 56.18, 15.59, 12.36, 85.31, 24.37, 7, 3519.91
20, 49.64, 50.04, 70.74, 71.79, 77.53, 58.56, 0, 4331.67
25, 51.25, 53.77, 23.36, 20.41, 79.31, 32.53, 0, 5518.25
30, 51.25, 55.43, 16.75, 13.69, 84.37, 25.69, 0, 6383.13
35, 51.91, 62.33, 11.60, 7.13, 88.68, 19.54, 0, 7322.73
40, 51.55, 58.89, 12.87, 9.13, 87.61, 21.09, 4, 8296.86
45, 51.37, 57.71, 13.22, 9.85, 87.34, 21.48, 4, 9225.49
50, 51.73, 64.48, 9.43, 5.28, 90.72, 16.44, 0, 10082.29
55, 51.68, 61.52, 11.05, 7.03, 89.23, 18.71, 0, 10931.71
60, 51.98, 63.20, 11.35, 6.72, 88.90, 19.22, 0, 11883.74
65, 51.98, 63.20, 11.35, 6.72, 88.90, 19.22, 0, 12609.93
70, 52.09, 63.03, 11.96, 7.13, 88.33, 20.08, 0, 13572.16
75, 51.53, 51.59, 62.06, 59.18, 70.30, 56.29, 0, 14359.59
80, 51.98, 51.51, 80.78, 77.28, 79.64, 62.86, 0, 15229.19
85, 51.81, 51.41, 80.22, 77.08, 79.57, 62.61, 0, 15984.30
90, 52.14, 62.02, 13.02, 8.10, 87.36, 21.49, 0, 16885.22
95, 51.93, 63.45, 10.95, 6.41, 89.28, 18.65, 1, 17920.47
100, 51.65, 66.26, 8.32, 4.31, 91.78, 14.77, 0, 18639.98
