data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 50.58, 50.54, 92.84, 92.36, 92.64, 65.40, 0, 4240.75
0.02, 50.41, 50.41, 98.13, 98.10, 98.12, 66.56, 0, 4003.03
0.03, 50.36, 50.39, 98.79, 98.87, 98.88, 66.69, 0, 4048.51
0.04, 50.41, 50.41, 99.60, 99.59, 99.59, 66.89, 0, 4080.72
0.05, 50.46, 50.43, 99.55, 99.44, 99.44, 66.90, 0, 4071.65
0.06, 50.33, 50.37, 98.74, 98.87, 98.88, 66.67, 0, 4104.36
0.07, 50.36, 50.38, 99.29, 99.38, 99.39, 66.80, 0, 4067.98
0.08, 50.38, 50.40, 99.39, 99.44, 99.44, 66.84, 0, 4105.85
0.09, 50.31, 50.36, 98.79, 98.97, 98.98, 66.67, 0, 4175.51
0.1, 50.28, 50.35, 99.04, 99.28, 99.29, 66.71, 0, 4233.56
0.2, 50.28, 50.35, 98.79, 99.03, 99.03, 66.66, 0, 4356.74
0.3, 52.06, 51.38, 91.22, 87.74, 88.18, 65.69, 0, 6358.99
0.4, 50.46, 50.69, 62.61, 61.90, 72.31, 55.98, 0, 7924.83
0.5, 49.97, 50.37, 51.46, 51.54, 70.80, 50.86, 0, 9319.70
0.6, 50.25, 50.49, 67.36, 67.13, 74.64, 57.67, 0, 9878.62
0.7, 50.56, 50.76, 63.93, 63.03, 72.62, 56.54, 0, 10563.41
0.8, 49.92, 50.37, 44.35, 44.41, 71.20, 47.12, 0, 11917.19
0.9, 49.52, 49.88, 30.98, 31.64, 75.93, 38.17, 0, 12671.21
1, 50.13, 50.80, 33.50, 32.97, 74.23, 40.33, 0, 14050.52
5, 50.64, 51.21, 43.90, 42.51, 70.39, 47.22, 0, 65823.82
10, 53.71, 54.25, 52.12, 44.67, 65.48, 53.12, 0, 125524.61
15, 53.69, 54.20, 52.42, 45.03, 65.51, 53.25, 0, 164846.30
20, 53.92, 54.44, 52.57, 44.72, 65.18, 53.44, 0, 199583.38
25, 53.43, 53.87, 52.98, 46.10, 65.85, 53.37, 0, 253054.83
30, 52.01, 52.48, 50.81, 46.77, 67.88, 51.58, 0, 307272.59
35, 52.19, 52.73, 49.75, 45.33, 67.68, 51.14, 0, 366924.91
40, 51.98, 52.41, 51.51, 47.54, 67.90, 51.91, 0, 405746.79
45, 51.30, 51.78, 49.14, 46.51, 68.92, 50.38, 0, 476539.72
50, 51.68, 52.16, 49.90, 46.51, 68.36, 50.96, 0, 527923.26
55, 51.37, 51.84, 49.70, 46.92, 68.79, 50.70, 0, 588800.51
60, 50.71, 51.17, 48.69, 47.23, 69.74, 49.85, 0, 627959.07
65, 50.23, 50.66, 48.64, 48.15, 70.41, 49.58, 0, 670609.04
70, 50.03, 50.46, 47.43, 47.33, 70.74, 48.84, 0, 733949.67
75, 50.25, 50.71, 46.92, 46.36, 70.47, 48.69, 0, 764915.89
80, 49.57, 49.97, 47.33, 48.15, 71.37, 48.56, 0, 813615.82
85, 49.06, 49.44, 46.97, 48.82, 72.08, 48.13, 0, 845677.75
90, 48.73, 49.09, 46.22, 48.72, 72.57, 47.56, 0, 893568.99
95, 47.63, 47.92, 44.65, 49.33, 74.14, 46.18, 0, 964491.45
100, 48.07, 48.41, 46.01, 49.85, 73.48, 47.13, 0, 1004932.58
