data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 25.83
0.02, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 26.07
0.03, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 26.00
0.04, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 24.86
0.05, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 25.14
0.06, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 26.54
0.07, 48.28, 0.00, 0.00, 0.00, 100.00, 0.00, 0, 28.87
0.08, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 25.72
0.09, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 26.17
0.1, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 25.20
0.2, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 26.73
0.3, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 25.81
0.4, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 27.22
0.5, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 43.03
0.6, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 46.95
0.7, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 67.93
0.8, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 74.85
0.9, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 82.25
1, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 105.74
5, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 659.63
10, 49.26, 51.74, 28.12, 28.11, 77.17, 36.40, 0, 1539.26
15, 50.32, 51.27, 79.61, 81.06, 83.58, 62.32, 0, 1978.17
20, 49.72, 55.28, 14.64, 12.69, 86.30, 23.11, 1, 2693.78
25, 50.74, 51.48, 82.73, 83.52, 85.29, 63.42, 0, 3239.64
30, 48.70, 50.62, 33.31, 34.80, 75.23, 40.13, 0, 3714.33
35, 50.96, 51.54, 86.43, 87.05, 88.10, 64.53, 0, 3969.94
40, 47.94, 49.30, 23.27, 25.64, 80.90, 31.58, 1, 4608.43
45, 51.00, 51.45, 93.26, 94.27, 94.51, 66.27, 0, 5005.04
50, 49.34, 52.70, 20.07, 19.30, 82.23, 29.03, 0, 5371.56
55, 50.96, 51.74, 76.97, 76.92, 80.29, 61.84, 0, 5688.27
60, 49.81, 52.67, 29.19, 28.11, 76.18, 37.52, 1, 6093.42
65, 50.02, 50.96, 89.39, 92.16, 92.77, 64.87, 0, 6667.90
70, 48.58, 50.44, 32.89, 34.63, 75.51, 39.77, 0, 7135.93
75, 50.28, 51.69, 59.13, 59.21, 71.94, 55.11, 0, 7467.99
80, 47.85, 49.55, 45.39, 49.52, 73.71, 47.33, 0, 8065.91
85, 48.45, 50.16, 51.56, 54.89, 73.21, 50.80, 1, 8189.79
90, 46.58, 47.98, 38.98, 45.29, 75.99, 42.96, 0, 8539.10
95, 50.40, 51.92, 55.59, 55.15, 70.81, 53.64, 0, 9305.23
100, 48.45, 50.24, 33.88, 35.95, 75.26, 40.42, 0, 9648.24
