data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 4163.46
0.02, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3972.95
0.03, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3910.57
0.04, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3902.88
0.05, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3828.57
0.06, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3913.52
0.07, 48.28, 0.00, 0.00, 0.00, 100.00, 0.00, 0, 3878.33
0.08, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3889.18
0.09, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3875.15
0.1, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3898.20
0.2, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3854.18
0.3, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3895.05
0.4, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3862.16
0.5, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3896.14
0.6, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 3960.08
0.7, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 4180.49
0.8, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 4426.12
0.9, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 4403.32
1, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 4505.51
5, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 10442.07
10, 51.08, 52.50, 56.91, 55.15, 69.99, 54.57, 0, 19941.76
15, 51.72, 51.78, 96.79, 96.56, 96.62, 67.42, 0, 25506.34
20, 49.64, 51.41, 47.94, 48.55, 71.18, 49.57, 0, 34404.90
25, 51.72, 51.79, 96.13, 95.86, 95.94, 67.27, 0, 39811.91
30, 49.72, 51.48, 48.52, 48.99, 71.06, 49.91, 0, 47168.40
35, 51.25, 51.64, 90.79, 91.10, 91.57, 65.79, 0, 52117.79
40, 48.32, 50.04, 47.94, 51.28, 73.07, 48.92, 0, 59767.22
45, 50.28, 51.07, 92.11, 94.54, 94.87, 65.66, 0, 64395.94
50, 48.06, 49.77, 44.24, 47.84, 73.47, 46.79, 0, 70951.46
55, 49.55, 50.73, 85.20, 88.63, 89.86, 63.55, 0, 76374.59
60, 48.83, 50.68, 39.64, 41.32, 73.15, 44.44, 0, 82152.84
65, 49.30, 50.59, 84.46, 88.37, 89.73, 63.23, 0, 87250.94
70, 47.55, 49.11, 38.49, 42.73, 74.90, 43.10, 0, 93342.98
75, 48.36, 50.06, 74.42, 79.56, 83.57, 59.81, 0, 99194.79
80, 46.92, 48.25, 36.27, 41.67, 76.15, 41.36, 0, 106708.53
85, 48.36, 50.05, 79.03, 84.49, 87.06, 61.24, 0, 112294.70
90, 46.75, 47.83, 32.65, 38.15, 77.41, 38.76, 0, 116835.94
95, 46.49, 48.89, 75.82, 84.93, 88.31, 59.40, 0, 123055.23
100, 46.07, 46.65, 29.77, 36.48, 79.14, 36.30, 0, 129651.43
