data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 42.44
0.02, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 23.96
0.03, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 23.97
0.04, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 29.05
0.05, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 24.03
0.06, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 25.80
0.07, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 25.10
0.08, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 24.50
0.09, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 25.03
0.1, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 24.07
0.2, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 25.21
0.3, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 24.57
0.4, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 24.94
0.5, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 25.48
0.6, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 24.64
0.7, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 29.02
0.8, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 25.13
0.9, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 24.74
1, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 35.81
5, 47.72, 47.37, 62.64, 66.55, 76.32, 53.89, 1, 219.70
10, 48.79, 47.78, 51.28, 53.59, 72.42, 49.42, 4, 488.37
15, 49.60, 47.59, 30.77, 32.40, 76.44, 37.33, 0, 743.90
20, 49.15, 46.23, 24.73, 27.50, 80.14, 32.17, 0, 929.44
25, 48.25, 46.92, 44.69, 48.34, 73.46, 45.73, 2, 1145.70
30, 48.25, 47.69, 60.62, 63.57, 74.78, 53.34, 2, 1353.33
35, 47.63, 45.81, 39.01, 44.13, 75.28, 42.09, 1, 1470.86
40, 48.34, 47.28, 49.27, 52.54, 73.04, 48.20, 1, 1639.28
45, 50.58, 49.20, 33.88, 33.45, 74.10, 40.08, 0, 1802.26
50, 48.88, 46.44, 29.85, 32.92, 77.49, 36.30, 1, 1928.48
55, 46.11, 45.24, 48.72, 56.39, 76.22, 46.86, 1, 2045.84
60, 50.67, 48.72, 17.40, 17.51, 84.44, 25.60, 1, 2329.66
65, 50.31, 48.75, 32.05, 32.22, 75.20, 38.63, 1, 2429.74
70, 48.97, 47.26, 37.91, 40.46, 74.10, 42.02, 2, 2507.08
75, 47.90, 46.40, 42.49, 46.94, 74.23, 44.31, 2, 2700.39
80, 48.88, 45.55, 23.44, 26.80, 81.11, 30.91, 1, 2854.79
85, 48.88, 47.85, 50.92, 53.06, 72.29, 49.28, 2, 2971.10
90, 49.15, 45.26, 19.23, 22.24, 83.78, 26.95, 0, 3152.86
95, 48.61, 46.70, 36.26, 39.58, 75.03, 40.78, 1, 3264.91
100, 47.81, 45.50, 34.25, 39.23, 76.56, 39.03, 1, 3508.85
