data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 4111.16
0.02, 49.69, 48.59, 50.37, 50.96, 71.14, 49.41, 2, 4269.07
0.03, 48.70, 48.73, 94.51, 95.10, 95.25, 64.25, 2, 4565.86
0.04, 48.16, 48.47, 95.60, 97.20, 97.30, 64.28, 2, 4380.60
0.05, 48.52, 48.66, 96.52, 97.37, 97.44, 64.66, 2, 4454.71
0.06, 48.79, 48.82, 98.35, 98.60, 98.61, 65.20, 2, 4156.65
0.07, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 4194.25
0.08, 48.70, 48.79, 99.63, 100.00, 100.00, 65.46, 2, 4297.49
0.09, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 4868.22
0.1, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 4129.81
0.2, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 4162.58
0.3, 49.51, 49.13, 93.41, 92.47, 92.70, 64.35, 2, 4704.35
0.4, 49.06, 48.93, 95.97, 95.80, 95.88, 64.77, 2, 4742.82
0.5, 49.69, 49.12, 81.50, 80.74, 82.83, 61.25, 1, 4910.34
0.6, 49.69, 49.06, 76.19, 75.66, 79.31, 59.64, 1, 5232.22
0.7, 48.61, 48.43, 79.30, 80.74, 83.35, 60.09, 1, 5785.17
0.8, 49.15, 48.80, 81.68, 81.96, 83.98, 61.05, 1, 5727.01
0.9, 49.69, 49.03, 74.36, 73.91, 78.23, 59.05, 1, 5811.55
1, 49.60, 49.01, 76.92, 76.53, 79.94, 59.82, 1, 5803.85
5, 47.00, 46.76, 60.81, 66.20, 76.93, 52.82, 3, 15568.98
10, 48.16, 47.13, 49.63, 53.24, 73.29, 48.30, 3, 29607.98
15, 47.36, 46.10, 45.42, 50.79, 74.55, 45.71, 0, 39937.39
20, 45.84, 44.70, 45.60, 53.94, 76.61, 45.10, 1, 51114.71
25, 47.99, 46.73, 45.79, 49.91, 73.69, 46.20, 1, 59213.36
30, 46.20, 44.66, 42.12, 49.91, 76.43, 43.31, 1, 71809.14
35, 47.81, 46.53, 45.42, 49.91, 73.96, 45.92, 1, 77778.54
40, 46.28, 44.62, 41.03, 48.69, 76.47, 42.70, 1, 85062.63
45, 46.82, 45.38, 43.22, 49.74, 75.48, 44.23, 2, 92927.14
50, 47.63, 46.11, 42.31, 47.29, 74.59, 44.08, 2, 103638.76
55, 46.46, 45.09, 43.77, 50.96, 75.89, 44.37, 1, 110403.05
60, 45.66, 43.84, 39.74, 48.69, 77.47, 41.64, 1, 117556.04
65, 46.46, 45.04, 43.22, 50.44, 75.94, 44.06, 1, 125950.98
70, 47.00, 45.47, 42.31, 48.51, 75.38, 43.78, 1, 132558.73
75, 45.57, 44.06, 42.12, 51.14, 77.23, 43.02, 2, 150457.13
80, 44.58, 42.74, 39.38, 50.44, 78.86, 40.94, 2, 149297.98
85, 44.32, 42.52, 39.56, 51.14, 79.17, 40.94, 2, 152795.63
90, 42.17, 40.27, 37.91, 53.77, 82.13, 39.01, 3, 162336.07
95, 44.05, 41.86, 37.18, 49.39, 79.91, 39.33, 3, 170788.15
100, 41.81, 39.34, 35.16, 51.84, 83.01, 37.09, 3, 179306.71
