,Accuracy,,Precision,,Recall,,False Alarm,,Distance,,F1 Score,
Data Size,CART,VFDT,CART,VFDT,CART,VFDT,CART,VFDT,CART,VFDT,CART,VFDT
95,51,49,52,46,30,44,28,48,75,73,38,45
90,51,49,51,47,30,45,28,47,76,73,37,46
85,51,49,51,47,29,46,27,49,76,73,37,46
80,51,49,43,48,1,46,1,48,99,72,2,47
75,51,49,51,48,12,45,11,47,89,72,20,47
70,51,49,49,48,18,47,17,49,84,72,26,48
65,50,49,48,48,14,47,15,48,87,72,22,47
60,51,49,49,48,12,47,12,49,89,72,19,48
55,50,49,48,49,11,58,11,59,90,73,17,53
50,50,49,49,49,33,55,34,56,75,72,39,52
45,50,49,49,49,27,55,27,56,78,72,34,52
40,51,49,49,49,16,55,16,57,85,72,24,52
35,50,49,49,48,32,48,31,49,75,72,38,48
30,51,49,49,48,15,47,15,49,87,72,22,48
25,50,49,48,49,16,49,16,51,86,72,24,49
20,50,49,48,49,23,48,23,50,81,72,31,49
15,51,49,47,49,3,48,3,50,97,72,6,49
10,50,49,49,49,35,46,35,47,74,72,41,47
5,51,49,49,49,9,64,9,65,91,74,16,55
4,51,49,48,49,1,49,1,50,99,71,3,49
3,51,49,48,49,4,63,4,64,96,74,7,55
2,49,49,49,49,74,43,75,44,79,72,59,46
1,49,49,49,49,72,43,73,44,78,72,58,46
0.9,51,49,50,49,3,37,3,38,97,74,6,42
0.8,49,49,49,49,85,41,86,42,87,72,62,44
0.7,50,49,49,49,79,57,79,58,82,72,61,53
0.6,49,49,49,49,73,33,74,34,78,75,59,40
0.5,49,49,49,49,89,33,89,34,89,75,63,40
0.4,49,49,49,49,94,34,94,35,94,75,65,40
0.3,49,49,49,49,91,34,91,35,91,75,64,66
0.2,50,49,50,49,53,100,52,100,70,100,51,66
0.1,50,49,50,49,62,100,62,100,72,100,55,66
0.09,51,49,50,49,36,100,36,100,73,100,42,66
0.08,50,49,50,49,49,100,48,100,70,100,49,66
0.07,50,49,50,49,43,100,42,100,71,100,46,66
0.06,51,49,50,49,44,100,43,100,71,100,47,66
0.05,51,49,50,49,46,100,44,100,70,100,48,66
0.04,51,49,50,49,33,100,32,100,74,100,40,66
0.03,51,49,50,49,14,100,14,100,87,100,22,66
0.02,51,49,50,0,41,0,40,0,71,100,45,0
0.01,51,49,0,49,0,100,0,100,100,100,0,66
