size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.25,48.48,49.54,51.05,72.44,48.75,298.08
0.02,0.02,49.29,48.45,47.03,48.48,73,47.2,281.65
0.03,0.03,49.69,49.15,61.92,62.19,74.47,54.31,275.76
0.04,0.04,49.49,49.04,66.01,66.56,75.54,56.02,272.48
0.05,0.05,49.56,49.02,60.96,61.55,73.56,54.11,287.82
0.06,0.06,50,49.31,52.39,52.27,71.98,50.29,295.64
0.07,0.06,49.88,49.09,47.29,47.57,71.8,47.77,276.74
0.08,0.07,49.89,49.19,54.39,54.45,71.97,51.31,263.19
0.09,0.08,49.82,49.17,57.51,57.64,71.88,52.88,286.4
0.1,0.08,49.72,49.08,56.31,56.64,72.52,52.09,288.9
0.2,0.19,49.79,49.01,49.56,49.98,71.71,48.97,275.45
0.3,0.3,49.77,48.82,43.51,44.21,72.64,45.59,263.78
0.4,0.42,49.85,49.02,45.94,46.38,71.96,47.1,286.3
0.5,0.52,50.02,49.09,44.49,44.66,72.47,46.11,309.34
0.6,0.71,49.99,49.21,49.11,49.16,71.67,48.78,307.98
0.7,0.89,50.12,49.3,47.78,47.66,71.53,48.17,285.15
0.8,1.03,50.09,49.22,43.95,43.98,71.66,46.21,281.18
0.9,1.23,50.05,49.21,44.15,44.27,71.72,46.31,313.39
1,1.38,50.23,49.44,45.86,45.52,71.49,47.23,318.75
5,4.89,49.62,48.94,52.74,53.37,71.67,50.59,302.48
10,10.14,49.92,49.08,45.18,45.52,71.58,46.87,299.15
15,14.84,49.51,48.72,47.09,48.12,71.82,47.72,332.28
20,20,49.8,48.96,45.13,45.64,71.72,46.77,356.47
25,24.7,49.72,48.91,46.45,47.09,71.73,47.43,346.6
30,29.81,49.87,43.91,36,36.65,76.21,39.04,345.98
35,34.54,49.79,43.95,41.94,42.57,74.49,42.77,379.1
40,39.65,49.89,43.86,33.64,34.27,76.45,37.74,366.64
45,44.31,49.7,43.72,36.93,37.88,75.66,39.76,346.25
50,49.55,49.93,43.85,33.11,33.75,76.56,37.45,394.13
55,54.41,49.75,48.83,42.02,42.74,72.91,44.65,413.09
60,59.57,49.84,43.77,33.41,34.19,76.45,37.66,381.15
65,64.18,49.67,48.58,37.96,38.98,73.58,42.42,430.6
70,69.54,49.97,48.91,36.86,37.31,73.57,41.85,475.9
75,74.33,49.88,43.61,29.47,30.3,78.45,34.56,434.88
80,79.78,50.05,43.97,30.7,31.16,77.65,35.65,500.64
85,84.46,49.73,43.6,32.53,33.56,77.08,36.92,479.61
90,89.75,49.96,43.74,27.27,27.96,79.61,32.76,490.33
95,94.55,49.85,43.51,28.11,29.04,78.76,33.81,504.11
100,100,50.05,48.73,29.6,30.12,77.25,36.24,498.81
